Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Затирки силиконовые (герметики)», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 739;0,000022;
февраль 2018;1 856;0,000023;
март 2018;2 127;0,000025;
апрель 2018;1 672;0,000022;
май 2018;1 804;0,000024;
июнь 2018;1 882;0,000027;
июль 2018;2 201;0,000031;
август 2018;2 512;0,000035;
сентябрь 2018;2 386;0,000030;
октябрь 2018;2 740;0,000029;
ноябрь 2018;2 420;0,000028;
декабрь 2018;2 445;0,000028;
январь 2019;2 556;0,000029;
февраль 2019;2 526;0,000030;
март 2019;2 619;0,000029;
апрель 2019;2 336;0,000028;
май 2019;2 232;0,000028;
июнь 2019;2 576;0,000035;
июль 2019;2 903;0,000039;
август 2019;2 891;0,000039;
сентябрь 2019;2 807;0,000035;
октябрь 2019;2 921;0,000033;
ноябрь 2019;2 881;0,000032;
декабрь 2019;3 124;0,000033;
январь 2020;3 266;0,000033;
февраль 2020;3 129;0,000034;
март 2020;3 080;0,000031;
апрель 2020;3 474;0,000029;
май 2020;3 754;0,000035;
июнь 2020;3 755;0,000042;
июль 2020;3 596;0,000042;
август 2020;3 952;0,000047;
сентябрь 2020;3 832;0,000040;
октябрь 2020;4 458;0,000041;
ноябрь 2020;4 659;0,000040;
декабрь 2020;4 706;0,000042;
январь 2021;4 906;0,000047;
февраль 2021;4 653;0,000046;
март 2021;5 437;0,000049;
апрель 2021;5 033;0,000046;
май 2021;4 927;0,000047;
июнь 2021;4 936;0,000049;
июль 2021;5 502;0,000056;
август 2021;5 580;0,000055;
сентябрь 2021;6 480;0,000060;
октябрь 2021;6 043;0,000053;
ноябрь 2021;6 573;0,000056;
декабрь 2021;6 444;0,000054;
январь 2022;6 457;0,000054;
февраль 2022;6 370;0,000053;
март 2022;7 934;0,000062;
апрель 2022;11 119;0,000093;
май 2022;11 254;0,000094;
июнь 2022;9 656;0,000090;
июль 2022;8 660;0,000083;
август 2022;9 617;0,000089;
сентябрь 2022;8 945;0,000076;
октябрь 2022;9 172;0,000074;
ноябрь 2022;10 402;0,000082;
декабрь 2022;8 444;0,000067;
январь 2023;6 986;0,000056;
февраль 2023;6 890;0,000060;
март 2023;7 487;0,000060;
апрель 2023;6 568;0,000056;
май 2023;7 044;0,000062;
июнь 2023;6 970;0,000067;
июль 2023;8 183;0,000081;
август 2023;7 957;0,000079;
сентябрь 2023;7 388;0,000068;
октябрь 2023;8 547;0,000071;
ноябрь 2023;8 641;0,000073;
декабрь 2023;7 946;0,000066;
январь 2024;7 553;0,000062;
февраль 2024;8 447;0,000075;
март 2024;8 488;0,000073;
апрель 2024;7 811;0,000072;
май 2024;7 559;0,000070;
июнь 2024;6 788;0,000072;
июль 2024;7 527;0,000080;
август 2024;7 524;0,000080;
сентябрь 2024;7 210;0,000072;
октябрь 2024;7 672;0,000068;
ноябрь 2024;8 357;0,000071;
декабрь 2024;8 722;0,000072;
январь 2025;7 941;0,000066;
февраль 2025;8 305;0,000072;
март 2025;8 967;0,000074;
апрель 2025;8 404;0,000073;
май 2025;8 171;0,000076;
июнь 2025;9 258;0,000087;
