Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плиткорезы ручные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;16 186;0,00020;
февраль 2018;16 537;0,00021;
март 2018;17 388;0,00020;
апрель 2018;13 263;0,00017;
май 2018;13 443;0,00017;
июнь 2018;13 622;0,00019;
июль 2018;15 898;0,00022;
август 2018;16 730;0,00023;
сентябрь 2018;16 784;0,00021;
октябрь 2018;19 409;0,00021;
ноябрь 2018;19 199;0,00022;
декабрь 2018;18 347;0,00021;
январь 2019;18 917;0,00021;
февраль 2019;18 587;0,00022;
март 2019;20 231;0,00023;
апрель 2019;16 401;0,00019;
май 2019;14 994;0,00018;
июнь 2019;14 601;0,00020;
июль 2019;17 568;0,00023;
август 2019;17 807;0,00024;
сентябрь 2019;16 674;0,00021;
октябрь 2019;18 253;0,00020;
ноябрь 2019;20 606;0,00023;
декабрь 2019;21 491;0,00023;
январь 2020;22 809;0,00023;
февраль 2020;22 520;0,00024;
март 2020;22 098;0,00022;
апрель 2020;16 980;0,00014;
май 2020;19 878;0,00018;
июнь 2020;23 641;0,00026;
июль 2020;23 312;0,00027;
август 2020;24 530;0,00029;
сентябрь 2020;24 549;0,00025;
октябрь 2020;26 329;0,00024;
ноябрь 2020;30 309;0,00026;
декабрь 2020;29 090;0,00026;
январь 2021;30 321;0,00029;
февраль 2021;30 730;0,00030;
март 2021;31 188;0,00028;
апрель 2021;28 361;0,00026;
май 2021;25 775;0,00024;
июнь 2021;25 437;0,00025;
июль 2021;28 472;0,00029;
август 2021;33 407;0,00033;
сентябрь 2021;32 121;0,00029;
октябрь 2021;33 005;0,00029;
ноябрь 2021;36 181;0,00031;
декабрь 2021;33 924;0,00028;
январь 2022;35 989;0,00030;
февраль 2022;32 486;0,00027;
март 2022;33 149;0,00026;
апрель 2022;29 819;0,00024;
май 2022;27 162;0,00022;
июнь 2022;25 527;0,00023;
июль 2022;26 146;0,00025;
август 2022;26 962;0,00025;
сентябрь 2022;23 528;0,00020;
октябрь 2022;23 759;0,00019;
ноябрь 2022;27 600;0,00021;
декабрь 2022;24 900;0,00019;
январь 2023;25 591;0,00020;
февраль 2023;25 927;0,00022;
март 2023;27 237;0,00021;
апрель 2023;22 630;0,00019;
май 2023;21 220;0,00018;
июнь 2023;21 472;0,00020;
июль 2023;24 551;0,00024;
август 2023;23 935;0,00023;
сентябрь 2023;24 530;0,00022;
октябрь 2023;26 825;0,00022;
ноябрь 2023;29 437;0,00025;
декабрь 2023;25 693;0,00021;
январь 2024;26 112;0,00021;
февраль 2024;27 847;0,00024;
март 2024;26 390;0,00022;
апрель 2024;23 141;0,00021;
май 2024;22 160;0,00020;
июнь 2024;20 288;0,00021;
июль 2024;22 475;0,00024;
август 2024;21 784;0,00023;
сентябрь 2024;21 293;0,00021;
октябрь 2024;23 182;0,00020;
ноябрь 2024;25 357;0,00021;
декабрь 2024;23 272;0,00019;
январь 2025;23 711;0,00019;
февраль 2025;23 429;0,00020;
март 2025;21 952;0,00018;
апрель 2025;18 529;0,00016;
май 2025;17 354;0,00016;
июнь 2025;18 620;0,00017;
