Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кусачки для плитки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;293;0,0000037;
февраль 2018;309;0,0000039;
март 2018;328;0,0000039;
апрель 2018;287;0,0000037;
май 2018;252;0,0000033;
июнь 2018;293;0,0000042;
июль 2018;289;0,0000041;
август 2018;263;0,0000037;
сентябрь 2018;221;0,0000027;
октябрь 2018;295;0,0000032;
ноябрь 2018;244;0,0000028;
декабрь 2018;262;0,0000030;
январь 2019;210;0,0000023;
февраль 2019;265;0,0000031;
март 2019;236;0,0000026;
апрель 2019;230;0,0000027;
май 2019;186;0,0000023;
июнь 2019;180;0,0000024;
июль 2019;216;0,0000029;
август 2019;216;0,0000029;
сентябрь 2019;192;0,0000024;
октябрь 2019;283;0,0000031;
ноябрь 2019;308;0,0000034;
декабрь 2019;287;0,0000030;
январь 2020;203;0,0000020;
февраль 2020;301;0,0000032;
март 2020;191;0,0000019;
апрель 2020;236;0,0000019;
май 2020;282;0,0000026;
июнь 2020;240;0,0000026;
июль 2020;235;0,0000027;
август 2020;217;0,0000025;
сентябрь 2020;274;0,0000028;
октябрь 2020;297;0,0000027;
ноябрь 2020;307;0,0000026;
декабрь 2020;270;0,0000024;
январь 2021;298;0,0000028;
февраль 2021;322;0,0000032;
март 2021;347;0,0000031;
апрель 2021;286;0,0000026;
май 2021;257;0,0000024;
июнь 2021;266;0,0000026;
июль 2021;312;0,0000032;
август 2021;295;0,0000029;
сентябрь 2021;322;0,0000030;
октябрь 2021;319;0,0000028;
ноябрь 2021;419;0,0000036;
декабрь 2021;325;0,0000027;
январь 2022;374;0,0000031;
февраль 2022;336;0,0000028;
март 2022;319;0,0000025;
апрель 2022;258;0,0000021;
май 2022;348;0,0000029;
июнь 2022;313;0,0000029;
июль 2022;319;0,0000030;
август 2022;322;0,0000029;
сентябрь 2022;305;0,0000026;
октябрь 2022;243;0,0000019;
ноябрь 2022;365;0,0000028;
декабрь 2022;249;0,0000019;
январь 2023;304;0,0000024;
февраль 2023;309;0,0000027;
март 2023;307;0,0000024;
апрель 2023;261;0,0000022;
май 2023;228;0,0000020;
июнь 2023;275;0,0000026;
июль 2023;296;0,0000029;
август 2023;232;0,0000023;
сентябрь 2023;228;0,0000021;
октябрь 2023;247;0,0000020;
ноябрь 2023;302;0,0000025;
декабрь 2023;232;0,0000019;
январь 2024;300;0,0000024;
февраль 2024;258;0,0000022;
март 2024;271;0,0000023;
апрель 2024;297;0,0000027;
май 2024;211;0,0000019;
июнь 2024;172;0,0000018;
июль 2024;246;0,0000026;
август 2024;242;0,0000025;
сентябрь 2024;171;0,0000017;
октябрь 2024;263;0,0000023;
ноябрь 2024;308;0,0000026;
декабрь 2024;198;0,0000016;
январь 2025;261;0,0000021;
февраль 2025;327;0,0000028;
март 2025;299;0,0000024;
апрель 2025;275;0,0000024;
май 2025;173;0,0000016;
июнь 2025;181;0,0000017;
