Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шпатели резиновые для затирки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;218;0,0000028;
февраль 2018;272;0,0000035;
март 2018;250;0,0000029;
апрель 2018;241;0,0000031;
май 2018;297;0,0000039;
июнь 2018;322;0,0000046;
июль 2018;340;0,0000048;
август 2018;365;0,0000051;
сентябрь 2018;423;0,0000053;
октябрь 2018;421;0,0000045;
ноябрь 2018;405;0,0000047;
декабрь 2018;334;0,0000039;
январь 2019;353;0,0000040;
февраль 2019;361;0,0000043;
март 2019;358;0,0000040;
апрель 2019;362;0,0000043;
май 2019;359;0,0000045;
июнь 2019;366;0,0000050;
июль 2019;393;0,0000053;
август 2019;397;0,0000054;
сентябрь 2019;345;0,0000043;
октябрь 2019;463;0,0000052;
ноябрь 2019;422;0,0000047;
декабрь 2019;420;0,0000045;
январь 2020;446;0,0000045;
февраль 2020;402;0,0000043;
март 2020;424;0,0000043;
апрель 2020;408;0,0000034;
май 2020;498;0,0000046;
июнь 2020;497;0,0000055;
июль 2020;486;0,0000057;
август 2020;559;0,0000066;
сентябрь 2020;518;0,0000054;
октябрь 2020;516;0,0000047;
ноябрь 2020;606;0,0000052;
декабрь 2020;601;0,0000054;
январь 2021;492;0,0000047;
февраль 2021;484;0,0000048;
март 2021;522;0,0000047;
апрель 2021;610;0,0000056;
май 2021;602;0,0000058;
июнь 2021;658;0,0000066;
июль 2021;747;0,0000077;
август 2021;765;0,0000076;
сентябрь 2021;732;0,0000068;
октябрь 2021;731;0,0000064;
ноябрь 2021;755;0,0000065;
декабрь 2021;758;0,0000063;
январь 2022;664;0,0000055;
февраль 2022;686;0,0000058;
март 2022;756;0,0000059;
апрель 2022;849;0,0000071;
май 2022;771;0,0000064;
июнь 2022;886;0,0000082;
июль 2022;883;0,0000084;
август 2022;973;0,0000090;
сентябрь 2022;694;0,0000059;
октябрь 2022;735;0,0000059;
ноябрь 2022;824;0,0000065;
декабрь 2022;722;0,0000057;
январь 2023;665;0,0000053;
февраль 2023;739;0,0000064;
март 2023;820;0,0000065;
апрель 2023;705;0,0000061;
май 2023;796;0,0000070;
июнь 2023;779;0,0000075;
июль 2023;910;0,0000090;
август 2023;943;0,0000093;
сентябрь 2023;976;0,0000090;
октябрь 2023;1 015;0,0000085;
ноябрь 2023;983;0,0000083;
декабрь 2023;825;0,0000069;
январь 2024;824;0,0000068;
февраль 2024;873;0,0000077;
март 2024;876;0,0000075;
апрель 2024;881;0,0000081;
май 2024;866;0,0000081;
июнь 2024;847;0,0000090;
июль 2024;952;0,0000102;
август 2024;937;0,0000100;
сентябрь 2024;827;0,0000083;
октябрь 2024;981;0,0000087;
ноябрь 2024;875;0,0000075;
декабрь 2024;916;0,0000076;
январь 2025;801;0,0000067;
февраль 2025;868;0,0000076;
март 2025;845;0,0000070;
апрель 2025;788;0,0000069;
май 2025;867;0,0000081;
июнь 2025;878;0,0000083;
