Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Замок магнитный», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;21 894;0,00028;
февраль 2018;22 741;0,00029;
март 2018;25 684;0,00030;
апрель 2018;24 047;0,00031;
май 2018;22 175;0,00029;
июнь 2018;21 886;0,00031;
июль 2018;23 635;0,00033;
август 2018;24 935;0,00035;
сентябрь 2018;25 710;0,00032;
октябрь 2018;32 345;0,00035;
ноябрь 2018;28 633;0,00033;
декабрь 2018;25 747;0,00030;
январь 2019;26 034;0,00029;
февраль 2019;26 445;0,00031;
март 2019;28 721;0,00032;
апрель 2019;25 815;0,00031;
май 2019;23 016;0,00029;
июнь 2019;23 113;0,00031;
июль 2019;26 014;0,00035;
август 2019;27 917;0,00038;
сентябрь 2019;27 961;0,00035;
октябрь 2019;29 898;0,00033;
ноябрь 2019;30 508;0,00034;
декабрь 2019;31 785;0,00034;
январь 2020;33 065;0,00034;
февраль 2020;33 299;0,00036;
март 2020;30 099;0,00030;
апрель 2020;25 648;0,00021;
май 2020;29 125;0,00027;
июнь 2020;29 830;0,00033;
июль 2020;30 624;0,00036;
август 2020;30 456;0,00036;
сентябрь 2020;33 421;0,00035;
октябрь 2020;35 027;0,00032;
ноябрь 2020;37 321;0,00032;
декабрь 2020;35 471;0,00032;
январь 2021;33 529;0,00032;
февраль 2021;32 247;0,00032;
март 2021;36 011;0,00033;
апрель 2021;36 101;0,00033;
май 2021;33 126;0,00032;
июнь 2021;33 071;0,00033;
июль 2021;32 174;0,00033;
август 2021;36 457;0,00036;
сентябрь 2021;38 490;0,00035;
октябрь 2021;37 923;0,00033;
ноябрь 2021;38 899;0,00033;
декабрь 2021;38 897;0,00032;
январь 2022;38 470;0,00032;
февраль 2022;36 344;0,00030;
март 2022;40 258;0,00031;
апрель 2022;39 487;0,00033;
май 2022;36 083;0,00030;
июнь 2022;34 033;0,00031;
июль 2022;34 282;0,00032;
август 2022;36 503;0,00033;
сентябрь 2022;36 949;0,00031;
октябрь 2022;40 911;0,00033;
ноябрь 2022;42 071;0,00033;
декабрь 2022;37 113;0,00029;
январь 2023;38 792;0,00031;
февраль 2023;35 835;0,00031;
март 2023;41 498;0,00033;
апрель 2023;36 624;0,00031;
май 2023;35 346;0,00031;
июнь 2023;34 637;0,00033;
июль 2023;35 877;0,00035;
август 2023;36 930;0,00036;
сентябрь 2023;38 029;0,00035;
октябрь 2023;42 679;0,00035;
ноябрь 2023;42 052;0,00035;
декабрь 2023;39 069;0,00032;
январь 2024;40 884;0,00033;
февраль 2024;40 884;0,00036;
март 2024;42 211;0,00036;
апрель 2024;39 998;0,00036;
май 2024;37 440;0,00035;
июнь 2024;34 212;0,00036;
июль 2024;36 858;0,00039;
август 2024;39 112;0,00041;
сентябрь 2024;38 724;0,00038;
октябрь 2024;44 284;0,00039;
ноябрь 2024;46 500;0,00039;
декабрь 2024;46 884;0,00039;
январь 2025;47 622;0,00040;
февраль 2025;46 583;0,00040;
март 2025;46 352;0,00038;
апрель 2025;41 805;0,00036;
май 2025;38 542;0,00036;
июнь 2025;41 975;0,00039;
