Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Средства для защиты швов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;137;0,0000017;
февраль 2018;135;0,0000017;
март 2018;137;0,0000016;
апрель 2018;127;0,0000016;
май 2018;138;0,0000018;
июнь 2018;96;0,0000013;
июль 2018;101;0,0000014;
август 2018;164;0,0000023;
сентябрь 2018;133;0,0000016;
октябрь 2018;164;0,0000017;
ноябрь 2018;112;0,0000013;
декабрь 2018;177;0,0000020;
январь 2019;115;0,0000013;
февраль 2019;121;0,0000014;
март 2019;175;0,0000019;
апрель 2019;85;0,0000010;
май 2019;128;0,0000016;
июнь 2019;134;0,0000018;
июль 2019;151;0,0000020;
август 2019;159;0,0000021;
сентябрь 2019;99;0,0000012;
октябрь 2019;130;0,0000014;
ноябрь 2019;108;0,0000012;
декабрь 2019;109;0,0000011;
январь 2020;166;0,0000017;
февраль 2020;178;0,0000019;
март 2020;150;0,0000015;
апрель 2020;149;0,0000012;
май 2020;192;0,0000017;
июнь 2020;124;0,0000013;
июль 2020;161;0,0000019;
август 2020;153;0,0000018;
сентябрь 2020;174;0,0000018;
октябрь 2020;211;0,0000019;
ноябрь 2020;191;0,0000016;
декабрь 2020;174;0,0000015;
январь 2021;144;0,0000013;
февраль 2021;174;0,0000017;
март 2021;197;0,0000018;
апрель 2021;173;0,0000016;
май 2021;161;0,0000015;
июнь 2021;162;0,0000016;
июль 2021;191;0,0000019;
август 2021;218;0,0000021;
сентябрь 2021;228;0,0000021;
октябрь 2021;235;0,0000020;
ноябрь 2021;242;0,0000020;
декабрь 2021;263;0,0000022;
январь 2022;211;0,0000017;
февраль 2022;212;0,0000017;
март 2022;234;0,0000018;
апрель 2022;206;0,0000017;
май 2022;214;0,0000017;
июнь 2022;184;0,0000017;
июль 2022;232;0,0000022;
август 2022;214;0,0000019;
сентябрь 2022;197;0,0000016;
октябрь 2022;187;0,0000015;
ноябрь 2022;216;0,0000017;
декабрь 2022;179;0,0000014;
январь 2023;219;0,0000017;
февраль 2023;184;0,0000016;
март 2023;185;0,0000014;
апрель 2023;173;0,0000014;
май 2023;158;0,0000013;
июнь 2023;156;0,0000015;
июль 2023;183;0,0000018;
август 2023;144;0,0000014;
сентябрь 2023;145;0,0000013;
октябрь 2023;180;0,0000015;
ноябрь 2023;231;0,0000019;
декабрь 2023;182;0,0000015;
январь 2024;172;0,0000014;
февраль 2024;149;0,0000013;
март 2024;186;0,0000016;
апрель 2024;131;0,0000012;
май 2024;138;0,0000012;
июнь 2024;147;0,0000015;
июль 2024;136;0,0000014;
август 2024;139;0,0000014;
сентябрь 2024;198;0,0000019;
октябрь 2024;184;0,0000016;
ноябрь 2024;198;0,0000017;
декабрь 2024;164;0,0000013;
январь 2025;176;0,0000014;
февраль 2025;158;0,0000013;
март 2025;157;0,0000013;
апрель 2025;143;0,0000012;
май 2025;158;0,0000014;
июнь 2025;160;0,0000015;
