Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Коробки дверные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;35 211;0,00045;
февраль 2018;33 966;0,00043;
март 2018;40 699;0,00048;
апрель 2018;31 098;0,00041;
май 2018;31 218;0,00041;
июнь 2018;33 571;0,00048;
июль 2018;37 916;0,00054;
август 2018;39 731;0,00056;
сентябрь 2018;40 064;0,00050;
октябрь 2018;46 305;0,00050;
ноябрь 2018;44 770;0,00052;
декабрь 2018;40 944;0,00047;
январь 2019;40 205;0,00045;
февраль 2019;38 772;0,00046;
март 2019;43 219;0,00049;
апрель 2019;36 340;0,00043;
май 2019;34 264;0,00043;
июнь 2019;35 001;0,00048;
июль 2019;41 949;0,00057;
август 2019;42 920;0,00059;
сентябрь 2019;41 392;0,00052;
октябрь 2019;46 740;0,00052;
ноябрь 2019;46 494;0,00052;
декабрь 2019;47 671;0,00051;
январь 2020;47 876;0,00049;
февраль 2020;45 955;0,00049;
март 2020;43 357;0,00044;
апрель 2020;47 387;0,00039;
май 2020;50 272;0,00046;
июнь 2020;49 656;0,00055;
июль 2020;51 516;0,00061;
август 2020;52 263;0,00062;
сентябрь 2020;48 180;0,00050;
октябрь 2020;55 042;0,00051;
ноябрь 2020;59 067;0,00051;
декабрь 2020;54 434;0,00049;
январь 2021;50 007;0,00047;
февраль 2021;46 696;0,00046;
март 2021;49 753;0,00045;
апрель 2021;46 509;0,00043;
май 2021;43 979;0,00042;
июнь 2021;46 681;0,00047;
июль 2021;48 572;0,00050;
август 2021;55 796;0,00055;
сентябрь 2021;54 561;0,00050;
октябрь 2021;55 883;0,00049;
ноябрь 2021;60 069;0,00051;
декабрь 2021;56 972;0,00048;
январь 2022;54 488;0,00045;
февраль 2022;48 851;0,00041;
март 2022;55 785;0,00043;
апрель 2022;51 023;0,00042;
май 2022;49 277;0,00041;
июнь 2022;47 626;0,00044;
июль 2022;50 931;0,00048;
август 2022;53 670;0,00049;
сентябрь 2022;48 737;0,00041;
октябрь 2022;52 138;0,00042;
ноябрь 2022;58 506;0,00046;
декабрь 2022;50 276;0,00039;
январь 2023;49 649;0,00040;
февраль 2023;49 127;0,00043;
март 2023;54 317;0,00043;
апрель 2023;45 104;0,00039;
май 2023;44 239;0,00039;
июнь 2023;47 304;0,00046;
июль 2023;54 450;0,00053;
август 2023;53 660;0,00053;
сентябрь 2023;51 137;0,00047;
октябрь 2023;58 380;0,00048;
ноябрь 2023;59 966;0,00051;
декабрь 2023;52 318;0,00043;
январь 2024;52 119;0,00043;
февраль 2024;51 519;0,00045;
март 2024;53 264;0,00046;
апрель 2024;47 702;0,00043;
май 2024;46 415;0,00043;
июнь 2024;44 990;0,00048;
июль 2024;50 345;0,00054;
август 2024;52 881;0,00056;
сентябрь 2024;49 894;0,00050;
октябрь 2024;58 100;0,00051;
ноябрь 2024;62 563;0,00053;
декабрь 2024;60 954;0,00050;
январь 2025;59 863;0,00050;
февраль 2025;58 883;0,00051;
март 2025;58 236;0,00048;
апрель 2025;51 145;0,00044;
май 2025;48 412;0,00045;
июнь 2025;54 708;0,00051;
