Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Замки дверные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;90 477;0,00116;
февраль 2018;88 418;0,00114;
март 2018;93 833;0,00111;
апрель 2018;85 846;0,00113;
май 2018;88 217;0,00117;
июнь 2018;87 606;0,00126;
июль 2018;104 809;0,00149;
август 2018;110 450;0,00156;
сентябрь 2018;114 315;0,00144;
октябрь 2018;133 462;0,00144;
ноябрь 2018;112 210;0,00132;
декабрь 2018;111 480;0,00130;
январь 2019;113 536;0,00128;
февраль 2019;99 697;0,00118;
март 2019;113 965;0,00129;
апрель 2019;109 473;0,00132;
май 2019;102 776;0,00129;
июнь 2019;104 981;0,00144;
июль 2019;113 446;0,00154;
август 2019;106 634;0,00146;
сентябрь 2019;101 863;0,00129;
октябрь 2019;107 929;0,00121;
ноябрь 2019;118 691;0,00133;
декабрь 2019;147 959;0,00159;
январь 2020;143 221;0,00147;
февраль 2020;129 556;0,00140;
март 2020;124 012;0,00126;
апрель 2020;117 418;0,00098;
май 2020;131 326;0,00122;
июнь 2020;130 662;0,00146;
июль 2020;135 946;0,00161;
август 2020;140 016;0,00166;
сентябрь 2020;171 808;0,00180;
октябрь 2020;143 726;0,00133;
ноябрь 2020;141 967;0,00123;
декабрь 2020;139 185;0,00125;
январь 2021;174 186;0,00166;
февраль 2021;183 438;0,00183;
март 2021;153 658;0,00141;
апрель 2021;158 243;0,00146;
май 2021;157 491;0,00152;
июнь 2021;156 348;0,00157;
июль 2021;154 880;0,00159;
август 2021;162 532;0,00162;
сентябрь 2021;155 943;0,00145;
октябрь 2021;157 335;0,00138;
ноябрь 2021;161 167;0,00139;
декабрь 2021;166 904;0,00140;
январь 2022;168 394;0,00141;
февраль 2022;143 801;0,00121;
март 2022;155 036;0,00121;
апрель 2022;142 903;0,00119;
май 2022;145 207;0,00121;
июнь 2022;136 842;0,00127;
июль 2022;156 344;0,00149;
август 2022;186 144;0,00172;
сентябрь 2022;149 189;0,00127;
октябрь 2022;152 357;0,00123;
ноябрь 2022;162 295;0,00128;
декабрь 2022;145 601;0,00115;
январь 2023;158 111;0,00128;
февраль 2023;142 755;0,00125;
март 2023;155 533;0,00125;
апрель 2023;138 303;0,00119;
май 2023;132 822;0,00117;
июнь 2023;127 914;0,00124;
июль 2023;141 089;0,00139;
август 2023;141 844;0,00141;
сентябрь 2023;137 231;0,00127;
октябрь 2023;151 715;0,00127;
ноябрь 2023;166 764;0,00142;
декабрь 2023;151 156;0,00126;
январь 2024;167 159;0,00138;
февраль 2024;152 938;0,00136;
март 2024;147 984;0,00128;
апрель 2024;138 880;0,00128;
май 2024;138 026;0,00129;
июнь 2024;126 877;0,00135;
июль 2024;136 333;0,00146;
август 2024;141 585;0,00151;
сентябрь 2024;134 560;0,00135;
октябрь 2024;152 005;0,00135;
ноябрь 2024;157 822;0,00135;
декабрь 2024;161 070;0,00134;
январь 2025;163 232;0,00137;
февраль 2025;159 410;0,00139;
март 2025;152 618;0,00127;
апрель 2025;140 905;0,00123;
май 2025;152 785;0,00143;
июнь 2025;156 684;0,00148;
