Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Системы для раздвижных дверей», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 028;0,000038;
февраль 2018;3 097;0,000039;
март 2018;4 027;0,000047;
апрель 2018;2 504;0,000033;
май 2018;5 860;0,000077;
июнь 2018;6 729;0,000096;
июль 2018;6 227;0,000089;
август 2018;3 930;0,000055;
сентябрь 2018;3 039;0,000038;
октябрь 2018;3 476;0,000037;
ноябрь 2018;3 300;0,000038;
декабрь 2018;2 708;0,000031;
январь 2019;3 276;0,000037;
февраль 2019;3 084;0,000036;
март 2019;3 076;0,000035;
апрель 2019;2 844;0,000034;
май 2019;2 461;0,000031;
июнь 2019;2 415;0,000033;
июль 2019;2 608;0,000035;
август 2019;2 710;0,000037;
сентябрь 2019;2 677;0,000034;
октябрь 2019;3 415;0,000038;
ноябрь 2019;3 453;0,000038;
декабрь 2019;3 095;0,000033;
январь 2020;3 711;0,000038;
февраль 2020;4 000;0,000043;
март 2020;3 572;0,000036;
апрель 2020;3 347;0,000028;
май 2020;3 550;0,000033;
июнь 2020;3 693;0,000041;
июль 2020;3 646;0,000043;
август 2020;3 526;0,000042;
сентябрь 2020;3 751;0,000039;
октябрь 2020;5 116;0,000047;
ноябрь 2020;6 015;0,000052;
декабрь 2020;5 436;0,000049;
январь 2021;5 417;0,000051;
февраль 2021;5 031;0,000050;
март 2021;5 043;0,000046;
апрель 2021;4 530;0,000042;
май 2021;3 647;0,000035;
июнь 2021;3 805;0,000038;
июль 2021;3 954;0,000040;
август 2021;4 381;0,000043;
сентябрь 2021;4 458;0,000041;
октябрь 2021;4 368;0,000038;
ноябрь 2021;5 016;0,000043;
декабрь 2021;4 316;0,000036;
январь 2022;5 353;0,000044;
февраль 2022;4 476;0,000037;
март 2022;4 925;0,000038;
апрель 2022;3 922;0,000032;
май 2022;3 607;0,000030;
июнь 2022;3 121;0,000029;
июль 2022;3 275;0,000031;
август 2022;3 834;0,000035;
сентябрь 2022;3 608;0,000030;
октябрь 2022;3 621;0,000029;
ноябрь 2022;4 538;0,000035;
декабрь 2022;3 538;0,000028;
январь 2023;3 935;0,000031;
февраль 2023;4 218;0,000036;
март 2023;4 704;0,000037;
апрель 2023;3 525;0,000030;
май 2023;3 345;0,000029;
июнь 2023;3 252;0,000031;
июль 2023;3 497;0,000034;
август 2023;3 579;0,000035;
сентябрь 2023;3 238;0,000030;
октябрь 2023;4 179;0,000035;
ноябрь 2023;4 010;0,000034;
декабрь 2023;3 510;0,000029;
январь 2024;4 038;0,000033;
февраль 2024;4 231;0,000037;
март 2024;4 258;0,000036;
апрель 2024;3 619;0,000033;
май 2024;3 503;0,000032;
июнь 2024;2 808;0,000030;
июль 2024;3 260;0,000035;
август 2024;3 045;0,000032;
сентябрь 2024;3 295;0,000033;
октябрь 2024;4 003;0,000035;
ноябрь 2024;4 158;0,000035;
декабрь 2024;3 768;0,000031;
январь 2025;4 209;0,000035;
февраль 2025;3 865;0,000033;
март 2025;3 678;0,000030;
апрель 2025;3 321;0,000029;
май 2025;2 808;0,000026;
июнь 2025;3 110;0,000029;
