Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стопоры дверные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 696;0,000021;
февраль 2018;1 462;0,000018;
март 2018;1 706;0,000020;
апрель 2018;1 799;0,000023;
май 2018;1 851;0,000024;
июнь 2018;1 736;0,000025;
июль 2018;2 082;0,000029;
август 2018;2 264;0,000032;
сентябрь 2018;2 040;0,000025;
октябрь 2018;2 385;0,000025;
ноябрь 2018;2 177;0,000025;
декабрь 2018;1 907;0,000022;
январь 2019;1 884;0,000021;
февраль 2019;2 149;0,000025;
март 2019;2 215;0,000025;
апрель 2019;2 063;0,000024;
май 2019;1 797;0,000022;
июнь 2019;1 911;0,000026;
июль 2019;2 145;0,000029;
август 2019;2 330;0,000032;
сентябрь 2019;2 162;0,000027;
октябрь 2019;2 432;0,000027;
ноябрь 2019;2 359;0,000026;
декабрь 2019;2 333;0,000025;
январь 2020;2 341;0,000024;
февраль 2020;2 628;0,000028;
март 2020;2 346;0,000023;
апрель 2020;2 024;0,000016;
май 2020;2 439;0,000022;
июнь 2020;2 635;0,000029;
июль 2020;2 695;0,000031;
август 2020;2 724;0,000032;
сентябрь 2020;2 828;0,000029;
октябрь 2020;3 066;0,000028;
ноябрь 2020;2 775;0,000024;
декабрь 2020;2 722;0,000024;
январь 2021;2 520;0,000024;
февраль 2021;2 432;0,000024;
март 2021;2 812;0,000025;
апрель 2021;3 013;0,000027;
май 2021;2 976;0,000028;
июнь 2021;2 965;0,000029;
июль 2021;3 079;0,000031;
август 2021;3 248;0,000032;
сентябрь 2021;3 242;0,000030;
октябрь 2021;2 870;0,000025;
ноябрь 2021;3 138;0,000027;
декабрь 2021;3 173;0,000026;
январь 2022;2 821;0,000023;
февраль 2022;2 950;0,000024;
март 2022;3 244;0,000025;
апрель 2022;3 309;0,000027;
май 2022;3 369;0,000028;
июнь 2022;3 307;0,000030;
июль 2022;3 407;0,000032;
август 2022;3 668;0,000034;
сентябрь 2022;3 134;0,000026;
октябрь 2022;3 231;0,000026;
ноябрь 2022;3 307;0,000026;
декабрь 2022;2 869;0,000022;
январь 2023;2 712;0,000022;
февраль 2023;2 570;0,000022;
март 2023;3 060;0,000024;
апрель 2023;2 668;0,000023;
май 2023;2 766;0,000024;
июнь 2023;2 618;0,000025;
июль 2023;2 800;0,000027;
август 2023;2 844;0,000028;
сентябрь 2023;2 846;0,000026;
октябрь 2023;2 841;0,000023;
ноябрь 2023;2 809;0,000023;
декабрь 2023;2 378;0,000019;
январь 2024;2 385;0,000019;
февраль 2024;2 665;0,000023;
март 2024;2 807;0,000024;
апрель 2024;2 594;0,000023;
май 2024;2 749;0,000025;
июнь 2024;2 524;0,000027;
июль 2024;2 809;0,000030;
август 2024;2 712;0,000029;
сентябрь 2024;2 638;0,000026;
октябрь 2024;3 030;0,000026;
ноябрь 2024;3 017;0,000025;
декабрь 2024;2 912;0,000024;
январь 2025;2 829;0,000023;
февраль 2025;2 901;0,000025;
март 2025;3 248;0,000027;
апрель 2025;3 344;0,000029;
май 2025;2 708;0,000025;
июнь 2025;3 272;0,000030;
