Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Опоры мебельные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 062;0,000078;
февраль 2018;6 277;0,000080;
март 2018;6 604;0,000078;
апрель 2018;5 681;0,000074;
май 2018;5 249;0,000069;
июнь 2018;5 138;0,000074;
июль 2018;5 612;0,000080;
август 2018;6 130;0,000086;
сентябрь 2018;6 047;0,000076;
октябрь 2018;7 150;0,000077;
ноябрь 2018;6 675;0,000078;
декабрь 2018;6 132;0,000071;
январь 2019;6 332;0,000071;
февраль 2019;6 885;0,000082;
март 2019;7 278;0,000082;
апрель 2019;5 893;0,000071;
май 2019;5 125;0,000064;
июнь 2019;5 397;0,000074;
июль 2019;5 992;0,000081;
август 2019;6 145;0,000084;
сентябрь 2019;6 333;0,000080;
октябрь 2019;6 909;0,000078;
ноябрь 2019;6 756;0,000076;
декабрь 2019;7 026;0,000075;
январь 2020;7 442;0,000076;
февраль 2020;8 204;0,000089;
март 2020;7 339;0,000074;
апрель 2020;5 694;0,000047;
май 2020;7 246;0,000067;
июнь 2020;7 580;0,000084;
июль 2020;7 582;0,000090;
август 2020;7 823;0,000093;
сентябрь 2020;7 766;0,000081;
октябрь 2020;8 997;0,000083;
ноябрь 2020;9 975;0,000087;
декабрь 2020;9 487;0,000085;
январь 2021;9 496;0,000090;
февраль 2021;9 708;0,000097;
март 2021;11 181;0,000102;
апрель 2021;10 388;0,000096;
май 2021;8 747;0,000084;
июнь 2021;8 858;0,000089;
июль 2021;9 469;0,000097;
август 2021;11 025;0,000109;
сентябрь 2021;12 353;0,000115;
октябрь 2021;11 771;0,000103;
ноябрь 2021;12 548;0,000108;
декабрь 2021;12 327;0,000104;
январь 2022;12 747;0,000106;
февраль 2022;12 064;0,000102;
март 2022;13 415;0,000105;
апрель 2022;12 611;0,000105;
май 2022;11 956;0,000100;
июнь 2022;10 871;0,000101;
июль 2022;11 773;0,000112;
август 2022;13 027;0,000120;
сентябрь 2022;11 495;0,000098;
октябрь 2022;12 158;0,000098;
ноябрь 2022;13 826;0,000109;
декабрь 2022;12 118;0,000096;
январь 2023;12 502;0,000101;
февраль 2023;12 695;0,000111;
март 2023;13 776;0,000110;
апрель 2023;11 502;0,000099;
май 2023;11 146;0,000098;
июнь 2023;11 593;0,000113;
июль 2023;11 334;0,000112;
август 2023;12 843;0,000127;
сентябрь 2023;12 501;0,000116;
октябрь 2023;14 651;0,000122;
ноябрь 2023;14 269;0,000121;
декабрь 2023;12 416;0,000104;
январь 2024;12 646;0,000104;
февраль 2024;13 316;0,000118;
март 2024;13 711;0,000118;
апрель 2024;12 595;0,000116;
май 2024;12 100;0,000113;
июнь 2024;10 212;0,000109;
июль 2024;11 292;0,000121;
август 2024;11 650;0,000124;
сентябрь 2024;11 245;0,000113;
октябрь 2024;12 477;0,000111;
ноябрь 2024;13 940;0,000119;
декабрь 2024;13 286;0,000110;
январь 2025;13 159;0,000110;
февраль 2025;13 515;0,000118;
март 2025;12 948;0,000108;
апрель 2025;11 582;0,000101;
май 2025;10 074;0,000094;
июнь 2025;10 958;0,000103;
