Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Колеса мебельные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 454;0,000044;
февраль 2018;3 389;0,000043;
март 2018;3 879;0,000046;
апрель 2018;3 365;0,000044;
май 2018;3 057;0,000040;
июнь 2018;2 882;0,000041;
июль 2018;3 126;0,000044;
август 2018;3 477;0,000049;
сентябрь 2018;3 733;0,000047;
октябрь 2018;4 535;0,000049;
ноябрь 2018;4 423;0,000052;
декабрь 2018;3 747;0,000043;
январь 2019;4 071;0,000046;
февраль 2019;4 231;0,000050;
март 2019;4 288;0,000048;
апрель 2019;3 899;0,000047;
май 2019;3 123;0,000039;
июнь 2019;3 282;0,000045;
июль 2019;3 600;0,000048;
август 2019;3 826;0,000052;
сентябрь 2019;3 657;0,000046;
октябрь 2019;4 222;0,000047;
ноябрь 2019;4 283;0,000048;
декабрь 2019;4 125;0,000044;
январь 2020;4 520;0,000046;
февраль 2020;4 516;0,000049;
март 2020;3 826;0,000038;
апрель 2020;3 800;0,000031;
май 2020;4 605;0,000042;
июнь 2020;4 380;0,000049;
июль 2020;4 212;0,000050;
август 2020;4 277;0,000050;
сентябрь 2020;4 351;0,000045;
октябрь 2020;4 989;0,000046;
ноябрь 2020;5 735;0,000050;
декабрь 2020;5 002;0,000045;
январь 2021;4 979;0,000047;
февраль 2021;5 157;0,000051;
март 2021;5 549;0,000050;
апрель 2021;4 757;0,000044;
май 2021;4 424;0,000042;
июнь 2021;4 506;0,000045;
июль 2021;4 609;0,000047;
август 2021;5 134;0,000051;
сентябрь 2021;5 538;0,000051;
октябрь 2021;5 671;0,000049;
ноябрь 2021;5 652;0,000048;
декабрь 2021;5 287;0,000044;
январь 2022;5 740;0,000048;
февраль 2022;5 176;0,000043;
март 2022;5 506;0,000043;
апрель 2022;5 523;0,000046;
май 2022;5 384;0,000045;
июнь 2022;4 902;0,000045;
июль 2022;5 066;0,000048;
август 2022;5 335;0,000049;
сентябрь 2022;5 473;0,000046;
октябрь 2022;5 806;0,000046;
ноябрь 2022;6 635;0,000052;
декабрь 2022;6 184;0,000049;
январь 2023;6 210;0,000050;
февраль 2023;6 210;0,000054;
март 2023;6 740;0,000054;
апрель 2023;5 620;0,000048;
май 2023;5 011;0,000044;
июнь 2023;4 994;0,000048;
июль 2023;5 277;0,000052;
август 2023;6 138;0,000061;
сентябрь 2023;5 640;0,000052;
октябрь 2023;6 312;0,000052;
ноябрь 2023;6 355;0,000054;
декабрь 2023;5 963;0,000049;
январь 2024;6 139;0,000050;
февраль 2024;6 213;0,000055;
март 2024;6 533;0,000056;
апрель 2024;6 103;0,000056;
май 2024;5 410;0,000050;
июнь 2024;4 763;0,000051;
июль 2024;5 242;0,000056;
август 2024;5 361;0,000057;
сентябрь 2024;5 328;0,000053;
октябрь 2024;6 079;0,000054;
ноябрь 2024;6 995;0,000060;
декабрь 2024;6 353;0,000052;
январь 2025;7 150;0,000060;
февраль 2025;6 969;0,000061;
март 2025;6 774;0,000056;
апрель 2025;5 970;0,000052;
май 2025;5 202;0,000048;
июнь 2025;5 512;0,000052;
