Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для кухни», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 353;0,000030;
февраль 2018;2 128;0,000027;
март 2018;2 541;0,000030;
апрель 2018;1 867;0,000024;
май 2018;1 724;0,000022;
июнь 2018;1 672;0,000024;
июль 2018;1 915;0,000027;
август 2018;2 127;0,000030;
сентябрь 2018;1 939;0,000024;
октябрь 2018;2 560;0,000027;
ноябрь 2018;3 020;0,000035;
декабрь 2018;4 106;0,000048;
январь 2019;2 489;0,000028;
февраль 2019;3 868;0,000046;
март 2019;2 622;0,000029;
апрель 2019;1 804;0,000021;
май 2019;1 574;0,000019;
июнь 2019;1 622;0,000022;
июль 2019;1 948;0,000026;
август 2019;1 788;0,000024;
сентябрь 2019;1 704;0,000021;
октябрь 2019;1 954;0,000022;
ноябрь 2019;2 190;0,000024;
декабрь 2019;2 169;0,000023;
январь 2020;2 373;0,000024;
февраль 2020;2 205;0,000023;
март 2020;1 981;0,000020;
апрель 2020;1 533;0,000012;
май 2020;1 963;0,000018;
июнь 2020;1 904;0,000021;
июль 2020;2 066;0,000024;
август 2020;2 221;0,000026;
сентябрь 2020;2 015;0,000021;
октябрь 2020;2 480;0,000023;
ноябрь 2020;2 797;0,000024;
декабрь 2020;2 549;0,000023;
январь 2021;2 944;0,000028;
февраль 2021;2 642;0,000026;
март 2021;2 466;0,000022;
апрель 2021;2 188;0,000020;
май 2021;1 842;0,000017;
июнь 2021;1 764;0,000017;
июль 2021;2 203;0,000022;
август 2021;2 475;0,000024;
сентябрь 2021;2 443;0,000022;
октябрь 2021;2 364;0,000020;
ноябрь 2021;2 737;0,000023;
декабрь 2021;2 835;0,000023;
январь 2022;2 923;0,000024;
февраль 2022;2 683;0,000022;
март 2022;3 209;0,000025;
апрель 2022;2 415;0,000020;
май 2022;2 079;0,000017;
июнь 2022;1 820;0,000016;
июль 2022;2 142;0,000020;
август 2022;2 090;0,000019;
сентябрь 2022;1 855;0,000015;
октябрь 2022;1 953;0,000015;
ноябрь 2022;2 214;0,000017;
декабрь 2022;2 124;0,000016;
январь 2023;2 178;0,000017;
февраль 2023;2 018;0,000017;
март 2023;2 198;0,000017;
апрель 2023;1 593;0,000013;
май 2023;1 624;0,000014;
июнь 2023;1 699;0,000016;
июль 2023;1 899;0,000018;
август 2023;1 933;0,000019;
сентябрь 2023;1 982;0,000018;
октябрь 2023;2 425;0,000020;
ноябрь 2023;2 399;0,000020;
декабрь 2023;1 925;0,000016;
январь 2024;2 064;0,000017;
февраль 2024;1 813;0,000016;
март 2024;1 689;0,000014;
апрель 2024;1 479;0,000013;
май 2024;1 403;0,000013;
июнь 2024;1 353;0,000014;
июль 2024;1 343;0,000014;
август 2024;1 392;0,000014;
сентябрь 2024;1 395;0,000014;
октябрь 2024;1 517;0,000013;
ноябрь 2024;1 575;0,000013;
декабрь 2024;1 500;0,000012;
январь 2025;1 911;0,000016;
февраль 2025;1 545;0,000013;
март 2025;1 642;0,000013;
апрель 2025;1 225;0,000010;
май 2025;1 100;0,000010;
июнь 2025;1 083;0,000010;
