Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Рейлинговые системы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 217;0,0000156;
февраль 2018;972;0,0000125;
март 2018;1 121;0,0000133;
апрель 2018;889;0,0000117;
май 2018;841;0,0000111;
июнь 2018;960;0,0000138;
июль 2018;910;0,0000130;
август 2018;1 050;0,0000148;
сентябрь 2018;1 038;0,0000130;
октябрь 2018;1 173;0,0000127;
ноябрь 2018;1 104;0,0000129;
декабрь 2018;1 082;0,0000126;
январь 2019;1 119;0,0000127;
февраль 2019;1 090;0,0000129;
март 2019;1 079;0,0000122;
апрель 2019;809;0,0000097;
май 2019;887;0,0000112;
июнь 2019;774;0,0000106;
июль 2019;903;0,0000122;
август 2019;908;0,0000124;
сентябрь 2019;920;0,0000116;
октябрь 2019;1 000;0,0000113;
ноябрь 2019;1 004;0,0000113;
декабрь 2019;974;0,0000105;
январь 2020;1 119;0,0000115;
февраль 2020;986;0,0000107;
март 2020;859;0,0000087;
апрель 2020;778;0,0000065;
май 2020;983;0,0000091;
июнь 2020;960;0,0000107;
июль 2020;1 068;0,0000126;
август 2020;1 002;0,0000119;
сентябрь 2020;949;0,0000099;
октябрь 2020;1 100;0,0000102;
ноябрь 2020;1 221;0,0000106;
декабрь 2020;979;0,0000088;
январь 2021;1 163;0,0000111;
февраль 2021;1 009;0,0000100;
март 2021;1 125;0,0000103;
апрель 2021;1 015;0,0000094;
май 2021;810;0,0000078;
июнь 2021;978;0,0000098;
июль 2021;1 246;0,0000128;
август 2021;1 727;0,0000172;
сентябрь 2021;1 213;0,0000113;
октябрь 2021;1 077;0,0000094;
ноябрь 2021;960;0,0000082;
декабрь 2021;1 108;0,0000093;
январь 2022;1 113;0,0000093;
февраль 2022;1 043;0,0000088;
март 2022;1 245;0,0000097;
апрель 2022;733;0,0000061;
май 2022;724;0,0000060;
июнь 2022;724;0,0000067;
июль 2022;760;0,0000072;
август 2022;882;0,0000081;
сентябрь 2022;774;0,0000066;
октябрь 2022;793;0,0000064;
ноябрь 2022;881;0,0000069;
декабрь 2022;715;0,0000056;
январь 2023;808;0,0000065;
февраль 2023;800;0,0000070;
март 2023;729;0,0000058;
апрель 2023;708;0,0000061;
май 2023;673;0,0000059;
июнь 2023;676;0,0000065;
июль 2023;721;0,0000071;
август 2023;648;0,0000064;
сентябрь 2023;655;0,0000060;
октябрь 2023;720;0,0000060;
ноябрь 2023;738;0,0000062;
декабрь 2023;576;0,0000048;
январь 2024;600;0,0000049;
февраль 2024;665;0,0000059;
март 2024;620;0,0000053;
апрель 2024;555;0,0000051;
май 2024;503;0,0000047;
июнь 2024;368;0,0000039;
июль 2024;494;0,0000053;
август 2024;590;0,0000063;
сентябрь 2024;383;0,0000038;
октябрь 2024;470;0,0000041;
ноябрь 2024;511;0,0000043;
декабрь 2024;493;0,0000041;
январь 2025;501;0,0000042;
февраль 2025;382;0,0000033;
март 2025;360;0,0000030;
апрель 2025;409;0,0000035;
май 2025;371;0,0000034;
июнь 2025;375;0,0000035;
