Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штанги и штангодержатели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;32;0,00000041;
февраль 2018;26;0,00000033;
март 2018;25;0,00000029;
апрель 2018;31;0,00000040;
май 2018;26;0,00000034;
июнь 2018;33;0,00000047;
июль 2018;23;0,00000032;
август 2018;23;0,00000032;
сентябрь 2018;22;0,00000027;
октябрь 2018;35;0,00000037;
ноябрь 2018;29;0,00000034;
декабрь 2018;29;0,00000033;
январь 2019;41;0,00000046;
февраль 2019;33;0,00000039;
март 2019;28;0,00000031;
апрель 2019;24;0,00000029;
май 2019;30;0,00000037;
июнь 2019;27;0,00000037;
июль 2019;35;0,00000047;
август 2019;29;0,00000039;
сентябрь 2019;20;0,00000025;
октябрь 2019;29;0,00000032;
ноябрь 2019;41;0,00000046;
декабрь 2019;41;0,00000044;
январь 2020;19;0,00000019;
февраль 2020;46;0,00000050;
март 2020;22;0,00000022;
апрель 2020;17;0,00000014;
май 2020;37;0,00000034;
июнь 2020;28;0,00000031;
июль 2020;24;0,00000028;
август 2020;37;0,00000044;
сентябрь 2020;38;0,00000040;
октябрь 2020;43;0,00000039;
ноябрь 2020;35;0,00000030;
декабрь 2020;54;0,00000048;
январь 2021;32;0,00000030;
февраль 2021;35;0,00000035;
март 2021;28;0,00000025;
апрель 2021;40;0,00000037;
май 2021;54;0,00000052;
июнь 2021;34;0,00000034;
июль 2021;35;0,00000036;
август 2021;52;0,00000051;
сентябрь 2021;48;0,00000044;
октябрь 2021;36;0,00000031;
ноябрь 2021;41;0,00000035;
декабрь 2021;26;0,00000021;
январь 2022;46;0,00000038;
февраль 2022;37;0,00000031;
март 2022;40;0,00000031;
апрель 2022;41;0,00000034;
май 2022;53;0,00000044;
июнь 2022;66;0,00000061;
июль 2022;61;0,00000058;
август 2022;64;0,00000059;
сентябрь 2022;35;0,00000029;
октябрь 2022;28;0,00000022;
ноябрь 2022;76;0,00000060;
декабрь 2022;41;0,00000032;
январь 2023;37;0,00000030;
февраль 2023;34;0,00000029;
март 2023;33;0,00000026;
апрель 2023;38;0,00000032;
май 2023;47;0,00000041;
июнь 2023;86;0,00000083;
июль 2023;43;0,00000042;
август 2023;48;0,00000047;
сентябрь 2023;59;0,00000054;
октябрь 2023;51;0,00000042;
ноябрь 2023;79;0,00000067;
декабрь 2023;64;0,00000053;
январь 2024;65;0,00000053;
февраль 2024;66;0,00000058;
март 2024;48;0,00000041;
апрель 2024;53;0,00000048;
май 2024;34;0,00000031;
июнь 2024;46;0,00000049;
июль 2024;56;0,00000060;
август 2024;63;0,00000067;
сентябрь 2024;59;0,00000059;
октябрь 2024;66;0,00000058;
ноябрь 2024;75;0,00000064;
декабрь 2024;80;0,00000066;
январь 2025;58;0,00000048;
февраль 2025;99;0,00000086;
март 2025;102;0,00000085;
апрель 2025;84;0,00000073;
май 2025;99;0,00000092;
июнь 2025;65;0,00000061;
