Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Накладки под мебельные ножки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;12;0,000000154;
февраль 2018;16;0,000000206;
март 2018;22;0,000000261;
апрель 2018;24;0,000000316;
май 2018;18;0,000000239;
июнь 2018;22;0,000000317;
июль 2018;21;0,000000300;
август 2018;32;0,000000453;
сентябрь 2018;25;0,000000315;
октябрь 2018;28;0,000000303;
ноябрь 2018;35;0,000000411;
декабрь 2018;42;0,000000491;
январь 2019;42;0,000000477;
февраль 2019;34;0,000000405;
март 2019;27;0,000000307;
апрель 2019;18;0,000000217;
май 2019;33;0,000000417;
июнь 2019;15;0,000000206;
июль 2019;32;0,000000435;
август 2019;30;0,000000412;
сентябрь 2019;43;0,000000546;
октябрь 2019;37;0,000000418;
ноябрь 2019;55;0,000000619;
декабрь 2019;33;0,000000355;
январь 2020;29;0,000000298;
февраль 2020;27;0,000000293;
март 2020;30;0,000000305;
апрель 2020;22;0,000000184;
май 2020;34;0,000000317;
июнь 2020;28;0,000000313;
июль 2020;47;0,000000558;
август 2020;36;0,000000429;
сентябрь 2020;30;0,000000315;
октябрь 2020;27;0,000000250;
ноябрь 2020;46;0,000000401;
декабрь 2020;20;0,000000180;
январь 2021;30;0,000000287;
февраль 2021;16;0,000000160;
март 2021;31;0,000000284;
апрель 2021;22;0,000000204;
май 2021;26;0,000000252;
июнь 2021;30;0,000000302;
июль 2021;27;0,000000278;
август 2021;32;0,000000319;
сентябрь 2021;28;0,000000261;
октябрь 2021;30;0,000000263;
ноябрь 2021;30;0,000000258;
декабрь 2021;30;0,000000253;
январь 2022;51;0,000000427;
февраль 2022;21;0,000000177;
март 2022;25;0,000000196;
апрель 2022;21;0,000000175;
май 2022;27;0,000000226;
июнь 2022;11;0,000000102;
июль 2022;36;0,000000345;
август 2022;20;0,000000185;
сентябрь 2022;19;0,000000162;
октябрь 2022;20;0,000000161;
ноябрь 2022;37;0,000000293;
декабрь 2022;10;0,000000079;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;22;0,000000195;
ноябрь 2024;16;0,000000137;
декабрь 2024;0;0;
январь 2025;0;0;
февраль 2025;0;0;
март 2025;0;0;
апрель 2025;0;0;
май 2025;0;0;
июнь 2025;0;0;
