Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Демпферы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;44 999;0,00057;
февраль 2018;49 330;0,00063;
март 2018;53 406;0,00063;
апрель 2018;53 806;0,00071;
май 2018;52 698;0,00070;
июнь 2018;49 119;0,00070;
июль 2018;50 067;0,00071;
август 2018;51 614;0,00073;
сентябрь 2018;53 934;0,00068;
октябрь 2018;64 075;0,00069;
ноябрь 2018;57 157;0,00067;
декабрь 2018;51 813;0,00060;
январь 2019;53 541;0,00060;
февраль 2019;58 098;0,00069;
март 2019;63 822;0,00072;
апрель 2019;65 422;0,00079;
май 2019;62 747;0,00079;
июнь 2019;58 184;0,00080;
июль 2019;62 472;0,00084;
август 2019;57 279;0,00078;
сентябрь 2019;56 854;0,00072;
октябрь 2019;60 957;0,00068;
ноябрь 2019;59 288;0,00066;
декабрь 2019;57 662;0,00062;
январь 2020;60 745;0,00062;
февраль 2020;62 324;0,00067;
март 2020;69 565;0,00070;
апрель 2020;72 001;0,00060;
май 2020;76 327;0,00071;
июнь 2020;73 610;0,00082;
июль 2020;70 728;0,00083;
август 2020;67 647;0,00080;
сентябрь 2020;69 415;0,00073;
октябрь 2020;73 711;0,00068;
ноябрь 2020;72 519;0,00063;
декабрь 2020;68 952;0,00062;
январь 2021;67 441;0,00064;
февраль 2021;68 844;0,00068;
март 2021;91 583;0,00084;
апрель 2021;100 522;0,00093;
май 2021;90 113;0,00087;
июнь 2021;85 143;0,00085;
июль 2021;80 498;0,00082;
август 2021;83 555;0,00083;
сентябрь 2021;82 356;0,00076;
октябрь 2021;85 197;0,00074;
ноябрь 2021;86 408;0,00074;
декабрь 2021;83 311;0,00070;
январь 2022;85 952;0,00072;
февраль 2022;91 815;0,00077;
март 2022;99 913;0,00078;
апрель 2022;104 334;0,00087;
май 2022;105 476;0,00088;
июнь 2022;103 175;0,00096;
июль 2022;98 298;0,00094;
август 2022;100 174;0,00092;
сентябрь 2022;89 330;0,00076;
октябрь 2022;95 547;0,00077;
ноябрь 2022;96 505;0,00076;
декабрь 2022;87 122;0,00069;
январь 2023;93 577;0,00075;
февраль 2023;97 611;0,00085;
март 2023;111 563;0,00089;
апрель 2023;109 394;0,00094;
май 2023;113 565;0,00100;
июнь 2023;108 065;0,00105;
июль 2023;108 936;0,00107;
август 2023;107 684;0,00107;
сентябрь 2023;109 074;0,00101;
октябрь 2023;119 046;0,00099;
ноябрь 2023;108 930;0,00092;
декабрь 2023;92 532;0,00077;
январь 2024;98 102;0,00081;
февраль 2024;102 928;0,00091;
март 2024;114 339;0,00099;
апрель 2024;118 177;0,00108;
май 2024;121 146;0,00113;
июнь 2024;107 607;0,00115;
июль 2024;108 921;0,00117;
август 2024;106 465;0,00113;
сентябрь 2024;102 104;0,00102;
октябрь 2024;115 239;0,00102;
ноябрь 2024;113 289;0,00097;
декабрь 2024;109 793;0,00091;
январь 2025;113 384;0,00095;
февраль 2025;117 580;0,00103;
март 2025;130 156;0,00108;
апрель 2025;132 269;0,00116;
май 2025;126 556;0,00118;
июнь 2025;132 522;0,00125;
