Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Системы открывания», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 491;0,000044;
февраль 2018;3 625;0,000046;
март 2018;4 076;0,000048;
апрель 2018;3 942;0,000052;
май 2018;4 075;0,000054;
июнь 2018;3 475;0,000050;
июль 2018;3 445;0,000049;
август 2018;3 852;0,000054;
сентябрь 2018;4 202;0,000053;
октябрь 2018;4 784;0,000051;
ноябрь 2018;4 401;0,000051;
декабрь 2018;4 206;0,000049;
январь 2019;4 421;0,000050;
февраль 2019;4 762;0,000056;
март 2019;5 169;0,000058;
апрель 2019;4 777;0,000057;
май 2019;4 621;0,000058;
июнь 2019;4 330;0,000059;
июль 2019;4 325;0,000058;
август 2019;4 254;0,000058;
сентябрь 2019;4 322;0,000054;
октябрь 2019;5 233;0,000059;
ноябрь 2019;4 894;0,000055;
декабрь 2019;4 776;0,000051;
январь 2020;5 440;0,000055;
февраль 2020;6 546;0,000071;
март 2020;5 293;0,000053;
апрель 2020;4 716;0,000039;
май 2020;5 962;0,000055;
июнь 2020;5 303;0,000059;
июль 2020;5 324;0,000063;
август 2020;5 489;0,000065;
сентябрь 2020;5 436;0,000057;
октябрь 2020;6 187;0,000057;
ноябрь 2020;6 482;0,000056;
декабрь 2020;5 756;0,000052;
январь 2021;5 824;0,000055;
февраль 2021;6 010;0,000060;
март 2021;6 279;0,000057;
апрель 2021;6 212;0,000057;
май 2021;6 053;0,000058;
июнь 2021;5 729;0,000057;
июль 2021;5 572;0,000057;
август 2021;5 744;0,000057;
сентябрь 2021;5 830;0,000054;
октябрь 2021;5 894;0,000051;
ноябрь 2021;6 334;0,000054;
декабрь 2021;5 718;0,000048;
январь 2022;6 434;0,000053;
февраль 2022;6 240;0,000052;
март 2022;5 947;0,000046;
апрель 2022;5 855;0,000048;
май 2022;5 979;0,000050;
июнь 2022;5 363;0,000050;
июль 2022;5 489;0,000052;
август 2022;5 948;0,000055;
сентябрь 2022;5 319;0,000045;
октябрь 2022;5 681;0,000045;
ноябрь 2022;6 757;0,000053;
декабрь 2022;5 704;0,000045;
январь 2023;6 161;0,000049;
февраль 2023;5 929;0,000051;
март 2023;6 652;0,000053;
апрель 2023;6 192;0,000053;
май 2023;6 438;0,000056;
июнь 2023;5 478;0,000053;
июль 2023;5 773;0,000057;
август 2023;5 678;0,000056;
сентябрь 2023;5 261;0,000048;
октябрь 2023;6 381;0,000053;
ноябрь 2023;6 199;0,000052;
декабрь 2023;5 275;0,000044;
январь 2024;5 883;0,000048;
февраль 2024;6 091;0,000054;
март 2024;6 232;0,000054;
апрель 2024;6 164;0,000056;
май 2024;6 266;0,000058;
июнь 2024;5 047;0,000054;
июль 2024;5 215;0,000056;
август 2024;5 183;0,000055;
сентябрь 2024;5 279;0,000053;
октябрь 2024;6 245;0,000055;
ноябрь 2024;6 790;0,000058;
декабрь 2024;5 900;0,000049;
январь 2025;6 366;0,000053;
февраль 2025;6 567;0,000057;
март 2025;6 611;0,000055;
апрель 2025;6 304;0,000055;
май 2025;6 218;0,000058;
июнь 2025;6 359;0,000060;
