Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Столешницы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;751 599;0,0096;
февраль 2018;737 060;0,0095;
март 2018;817 738;0,0097;
апрель 2018;691 673;0,0091;
май 2018;675 525;0,0089;
июнь 2018;682 478;0,0098;
июль 2018;775 987;0,0111;
август 2018;859 833;0,0121;
сентябрь 2018;862 635;0,0108;
октябрь 2018;1 102 781;0,0119;
ноябрь 2018;1 036 743;0,0121;
декабрь 2018;910 778;0,0106;
январь 2019;989 704;0,0112;
февраль 2019;937 092;0,0111;
март 2019;999 830;0,0113;
апрель 2019;849 681;0,0102;
май 2019;790 316;0,0099;
июнь 2019;803 295;0,0110;
июль 2019;928 894;0,0126;
август 2019;915 336;0,0125;
сентябрь 2019;902 541;0,0114;
октябрь 2019;1 036 655;0,0117;
ноябрь 2019;1 063 509;0,0119;
декабрь 2019;1 072 717;0,0115;
январь 2020;1 181 463;0,0121;
февраль 2020;1 161 495;0,0126;
март 2020;1 023 350;0,0104;
апрель 2020;930 141;0,0077;
май 2020;1 116 027;0,0104;
июнь 2020;1 142 544;0,0128;
июль 2020;1 236 440;0,0146;
август 2020;1 203 180;0,0143;
сентябрь 2020;1 167 894;0,0123;
октябрь 2020;1 356 032;0,0126;
ноябрь 2020;1 479 639;0,0129;
декабрь 2020;1 320 670;0,0119;
январь 2021;1 353 852;0,0129;
февраль 2021;1 314 895;0,0131;
март 2021;1 396 381;0,0128;
апрель 2021;1 306 613;0,0121;
май 2021;1 167 986;0,0113;
июнь 2021;1 149 533;0,0115;
июль 2021;1 253 066;0,0129;
август 2021;1 416 433;0,0141;
сентябрь 2021;1 416 411;0,0132;
октябрь 2021;1 358 539;0,0119;
ноябрь 2021;1 493 302;0,0128;
декабрь 2021;1 373 257;0,0115;
январь 2022;1 465 393;0,0122;
февраль 2022;1 372 225;0,0116;
март 2022;1 474 531;0,0115;
апрель 2022;1 284 130;0,0107;
май 2022;1 162 530;0,0097;
июнь 2022;1 105 718;0,0103;
июль 2022;1 187 852;0,0113;
август 2022;1 259 930;0,0116;
сентябрь 2022;1 096 307;0,0093;
октябрь 2022;1 192 952;0,0096;
ноябрь 2022;1 356 514;0,0107;
декабрь 2022;1 188 554;0,0094;
январь 2023;1 288 672;0,0104;
февраль 2023;1 259 390;0,0110;
март 2023;1 361 464;0,0109;
апрель 2023;1 148 495;0,0099;
май 2023;1 114 082;0,0098;
июнь 2023;1 112 471;0,0108;
июль 2023;1 228 076;0,0121;
август 2023;1 254 447;0,0124;
сентябрь 2023;1 223 201;0,0113;
октябрь 2023;1 407 678;0,0118;
ноябрь 2023;1 433 265;0,0122;
декабрь 2023;1 199 504;0,0100;
январь 2024;1 311 073;0,0108;
февраль 2024;1 322 240;0,0117;
март 2024;1 308 300;0,0113;
апрель 2024;1 180 981;0,0108;
май 2024;1 148 970;0,0107;
июнь 2024;1 032 169;0,0110;
июль 2024;1 130 014;0,0121;
август 2024;1 172 894;0,0125;
сентябрь 2024;1 099 294;0,0110;
октябрь 2024;1 264 693;0,0112;
ноябрь 2024;1 401 781;0,0120;
декабрь 2024;1 336 264;0,0111;
январь 2025;1 402 738;0,0118;
февраль 2025;1 371 714;0,0120;
март 2025;1 303 809;0,0108;
апрель 2025;1 159 819;0,0101;
май 2025;1 077 668;0,0100;
июнь 2025;1 220 990;0,0115;
