Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аксессуары к мойкам», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;108;0,00000139;
февраль 2018;142;0,00000183;
март 2018;179;0,00000212;
апрель 2018;267;0,00000352;
май 2018;303;0,00000403;
июнь 2018;197;0,00000283;
июль 2018;199;0,00000284;
август 2018;166;0,00000235;
сентябрь 2018;133;0,00000167;
октябрь 2018;150;0,00000162;
ноябрь 2018;143;0,00000168;
декабрь 2018;107;0,00000125;
январь 2019;144;0,00000163;
февраль 2019;99;0,00000118;
март 2019;217;0,00000247;
апрель 2019;240;0,00000290;
май 2019;242;0,00000306;
июнь 2019;192;0,00000264;
июль 2019;132;0,00000179;
август 2019;121;0,00000166;
сентябрь 2019;118;0,00000149;
октябрь 2019;125;0,00000141;
ноябрь 2019;115;0,00000129;
декабрь 2019;122;0,00000131;
январь 2020;92;0,00000094;
февраль 2020;122;0,00000132;
март 2020;257;0,00000261;
апрель 2020;298;0,00000249;
май 2020;265;0,00000247;
июнь 2020;312;0,00000349;
июль 2020;194;0,00000230;
август 2020;158;0,00000188;
сентябрь 2020;126;0,00000132;
октябрь 2020;141;0,00000131;
ноябрь 2020;132;0,00000115;
декабрь 2020;123;0,00000111;
январь 2021;123;0,00000117;
февраль 2021;83;0,00000083;
март 2021;191;0,00000175;
апрель 2021;297;0,00000275;
май 2021;223;0,00000216;
июнь 2021;257;0,00000259;
июль 2021;187;0,00000192;
август 2021;144;0,00000143;
сентябрь 2021;122;0,00000113;
октябрь 2021;140;0,00000123;
ноябрь 2021;130;0,00000112;
декабрь 2021;81;0,00000068;
январь 2022;109;0,00000091;
февраль 2022;141;0,00000119;
март 2022;167;0,00000131;
апрель 2022;243;0,00000203;
май 2022;278;0,00000232;
июнь 2022;212;0,00000197;
июль 2022;233;0,00000223;
август 2022;150;0,00000139;
сентябрь 2022;128;0,00000109;
октябрь 2022;145;0,00000117;
ноябрь 2022;123;0,00000097;
декабрь 2022;132;0,00000104;
январь 2023;98;0,00000079;
февраль 2023;92;0,00000080;
март 2023;207;0,00000166;
апрель 2023;219;0,00000189;
май 2023;218;0,00000192;
июнь 2023;121;0,00000118;
июль 2023;127;0,00000125;
август 2023;121;0,00000120;
сентябрь 2023;110;0,00000102;
октябрь 2023;76;0,00000063;
ноябрь 2023;64;0,00000054;
декабрь 2023;79;0,00000066;
январь 2024;85;0,00000070;
февраль 2024;100;0,00000089;
март 2024;105;0,00000091;
апрель 2024;221;0,00000203;
май 2024;176;0,00000165;
июнь 2024;147;0,00000157;
июль 2024;123;0,00000132;
август 2024;100;0,00000106;
сентябрь 2024;99;0,00000099;
октябрь 2024;65;0,00000057;
ноябрь 2024;89;0,00000076;
декабрь 2024;75;0,00000062;
январь 2025;49;0,00000041;
февраль 2025;63;0,00000055;
март 2025;166;0,00000138;
апрель 2025;163;0,00000143;
май 2025;136;0,00000127;
июнь 2025;117;0,00000110;
