Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мойки врезные гранитные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;41;0,000000527;
февраль 2018;32;0,000000412;
март 2018;29;0,000000344;
апрель 2018;34;0,000000448;
май 2018;20;0,000000266;
июнь 2018;28;0,000000403;
июль 2018;23;0,000000329;
август 2018;23;0,000000325;
сентябрь 2018;21;0,000000265;
октябрь 2018;40;0,000000434;
ноябрь 2018;53;0,000000623;
декабрь 2018;6;0,000000070;
январь 2019;42;0,000000477;
февраль 2019;37;0,000000441;
март 2019;30;0,000000341;
апрель 2019;35;0,000000423;
май 2019;12;0,000000151;
июнь 2019;14;0,000000193;
июль 2019;10;0,000000136;
август 2019;30;0,000000412;
сентябрь 2019;24;0,000000305;
октябрь 2019;20;0,000000226;
ноябрь 2019;44;0,000000495;
декабрь 2019;44;0,000000474;
январь 2020;29;0,000000298;
февраль 2020;11;0,000000119;
март 2020;14;0,000000142;
апрель 2020;15;0,000000125;
май 2020;21;0,000000195;
июнь 2020;21;0,000000235;
июль 2020;14;0,000000166;
август 2020;18;0,000000214;
сентябрь 2020;24;0,000000252;
октябрь 2020;33;0,000000306;
ноябрь 2020;32;0,000000279;
декабрь 2020;39;0,000000352;
январь 2021;20;0,000000191;
февраль 2021;17;0,000000170;
март 2021;24;0,000000220;
апрель 2021;16;0,000000148;
май 2021;16;0,000000155;
июнь 2021;31;0,000000312;
июль 2021;30;0,000000309;
август 2021;25;0,000000249;
сентябрь 2021;20;0,000000186;
октябрь 2021;23;0,000000202;
ноябрь 2021;21;0,000000181;
декабрь 2021;28;0,000000236;
январь 2022;36;0,000000301;
февраль 2022;32;0,000000270;
март 2022;40;0,000000313;
апрель 2022;19;0,000000158;
май 2022;12;0,000000100;
июнь 2022;22;0,000000205;
июль 2022;18;0,000000172;
август 2022;13;0,000000120;
сентябрь 2022;22;0,000000188;
октябрь 2022;32;0,000000258;
ноябрь 2022;24;0,000000190;
декабрь 2022;47;0,000000373;
январь 2023;13;0,000000105;
февраль 2023;15;0,000000131;
март 2023;23;0,000000184;
апрель 2023;11;0,000000095;
май 2023;11;0,000000097;
июнь 2023;9;0,000000087;
июль 2023;20;0,000000198;
август 2023;26;0,000000258;
сентябрь 2023;28;0,000000260;
октябрь 2023;22;0,000000184;
ноябрь 2023;21;0,000000178;
декабрь 2023;21;0,000000175;
январь 2024;19;0,000000157;
февраль 2024;14;0,000000124;
март 2024;19;0,000000164;
апрель 2024;17;0,000000156;
май 2024;9;0,000000084;
июнь 2024;19;0,000000203;
июль 2024;13;0,000000139;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
январь 2025;0;0;
февраль 2025;0;0;
март 2025;0;0;
апрель 2025;0;0;
май 2025;0;0;
июнь 2025;0;0;
