Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кухонные плиты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;22 942;0,00029;
февраль 2018;22 432;0,00028;
март 2018;23 242;0,00027;
апрель 2018;19 343;0,00025;
май 2018;17 747;0,00023;
июнь 2018;17 718;0,00025;
июль 2018;19 757;0,00028;
август 2018;21 991;0,00031;
сентябрь 2018;23 095;0,00029;
октябрь 2018;26 824;0,00029;
ноябрь 2018;26 421;0,00031;
декабрь 2018;26 392;0,00030;
январь 2019;27 460;0,00031;
февраль 2019;22 690;0,00027;
март 2019;23 417;0,00026;
апрель 2019;19 324;0,00023;
май 2019;17 840;0,00022;
июнь 2019;17 596;0,00024;
июль 2019;20 956;0,00028;
август 2019;21 077;0,00028;
сентябрь 2019;22 848;0,00029;
октябрь 2019;23 577;0,00026;
ноябрь 2019;25 978;0,00029;
декабрь 2019;27 096;0,00029;
январь 2020;26 678;0,00027;
февраль 2020;25 720;0,00027;
март 2020;25 138;0,00025;
апрель 2020;24 171;0,00020;
май 2020;25 928;0,00024;
июнь 2020;24 344;0,00027;
июль 2020;24 502;0,00029;
август 2020;25 067;0,00029;
сентябрь 2020;27 200;0,00028;
октябрь 2020;32 313;0,00030;
ноябрь 2020;33 534;0,00029;
декабрь 2020;31 805;0,00028;
январь 2021;29 333;0,00028;
февраль 2021;26 490;0,00026;
март 2021;28 750;0,00026;
апрель 2021;30 149;0,00027;
май 2021;23 961;0,00023;
июнь 2021;24 141;0,00024;
июль 2021;26 585;0,00027;
август 2021;28 741;0,00028;
сентябрь 2021;40 453;0,00037;
октябрь 2021;31 151;0,00027;
ноябрь 2021;35 027;0,00030;
декабрь 2021;35 449;0,00029;
январь 2022;32 795;0,00027;
февраль 2022;30 250;0,00025;
март 2022;36 637;0,00028;
апрель 2022;29 305;0,00024;
май 2022;26 712;0,00022;
июнь 2022;24 229;0,00022;
июль 2022;25 670;0,00024;
август 2022;27 581;0,00025;
сентябрь 2022;31 503;0,00026;
октябрь 2022;29 290;0,00023;
ноябрь 2022;32 510;0,00025;
декабрь 2022;29 591;0,00023;
январь 2023;29 352;0,00023;
февраль 2023;27 669;0,00024;
март 2023;28 740;0,00023;
апрель 2023;23 893;0,00020;
май 2023;27 765;0,00024;
июнь 2023;22 634;0,00022;
июль 2023;23 335;0,00023;
август 2023;24 208;0,00024;
сентябрь 2023;29 089;0,00027;
октябрь 2023;35 115;0,00029;
ноябрь 2023;30 698;0,00026;
декабрь 2023;28 472;0,00023;
январь 2024;30 958;0,00025;
февраль 2024;28 464;0,00025;
март 2024;26 026;0,00022;
апрель 2024;23 418;0,00021;
май 2024;22 534;0,00021;
июнь 2024;22 176;0,00023;
июль 2024;21 646;0,00023;
август 2024;22 240;0,00023;
сентябрь 2024;23 881;0,00024;
октябрь 2024;26 841;0,00023;
ноябрь 2024;29 251;0,00025;
декабрь 2024;28 335;0,00023;
январь 2025;30 732;0,00025;
февраль 2025;29 600;0,00025;
март 2025;27 340;0,00022;
апрель 2025;26 093;0,00022;
май 2025;23 445;0,00021;
июнь 2025;26 046;0,00024;
