Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Чайники электрические», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;126 609;0,0016;
февраль 2018;136 439;0,0017;
март 2018;154 406;0,0018;
апрель 2018;125 720;0,0016;
май 2018;122 528;0,0016;
июнь 2018;102 872;0,0014;
июль 2018;104 443;0,0014;
август 2018;123 430;0,0017;
сентябрь 2018;141 475;0,0017;
октябрь 2018;169 216;0,0018;
ноябрь 2018;161 348;0,0018;
декабрь 2018;176 577;0,0020;
январь 2019;161 494;0,0018;
февраль 2019;166 341;0,0019;
март 2019;177 496;0,0020;
апрель 2019;146 503;0,0017;
май 2019;138 242;0,0017;
июнь 2019;113 615;0,0015;
июль 2019;126 347;0,0017;
август 2019;132 958;0,0018;
сентябрь 2019;152 767;0,0019;
октябрь 2019;165 005;0,0018;
ноябрь 2019;178 510;0,0020;
декабрь 2019;200 161;0,0021;
январь 2020;192 506;0,0019;
февраль 2020;194 843;0,0021;
март 2020;196 134;0,0019;
апрель 2020;217 464;0,0018;
май 2020;223 664;0,0020;
июнь 2020;164 692;0,0018;
июль 2020;161 194;0,0019;
август 2020;171 614;0,0020;
сентябрь 2020;203 868;0,0021;
октябрь 2020;223 942;0,0020;
ноябрь 2020;257 653;0,0022;
декабрь 2020;285 033;0,0025;
январь 2021;244 860;0,0023;
февраль 2021;238 301;0,0023;
март 2021;261 378;0,0024;
апрель 2021;229 763;0,0021;
май 2021;208 978;0,0020;
июнь 2021;184 530;0,0018;
июль 2021;188 225;0,0019;
август 2021;223 083;0,0022;
сентябрь 2021;257 885;0,0024;
октябрь 2021;257 281;0,0022;
ноябрь 2021;283 813;0,0024;
декабрь 2021;306 059;0,0025;
январь 2022;293 527;0,0024;
февраль 2022;297 257;0,0025;
март 2022;364 418;0,0028;
апрель 2022;279 033;0,0023;
май 2022;271 416;0,0022;
июнь 2022;217 748;0,0020;
июль 2022;211 652;0,0020;
август 2022;232 069;0,0021;
сентябрь 2022;259 097;0,0022;
октябрь 2022;262 694;0,0021;
ноябрь 2022;285 800;0,0022;
декабрь 2022;286 826;0,0022;
январь 2023;276 840;0,0022;
февраль 2023;264 429;0,0023;
март 2023;295 636;0,0023;
апрель 2023;247 278;0,0021;
май 2023;238 634;0,0021;
июнь 2023;209 837;0,0020;
июль 2023;198 392;0,0019;
август 2023;216 826;0,0021;
сентябрь 2023;253 281;0,0023;
октябрь 2023;301 671;0,0025;
ноябрь 2023;285 120;0,0024;
декабрь 2023;300 392;0,0025;
январь 2024;293 156;0,0024;
февраль 2024;296 136;0,0026;
март 2024;291 778;0,0025;
апрель 2024;260 089;0,0023;
май 2024;247 924;0,0023;
июнь 2024;184 644;0,0019;
июль 2024;190 910;0,0020;
август 2024;185 271;0,0019;
сентябрь 2024;208 268;0,0020;
октябрь 2024;236 146;0,0021;
ноябрь 2024;257 356;0,0022;
декабрь 2024;275 618;0,0022;
январь 2025;244 475;0,0020;
февраль 2025;257 644;0,0022;
март 2025;265 002;0,0022;
апрель 2025;263 381;0,0023;
май 2025;211 573;0,0019;
июнь 2025;183 308;0,0017;
