Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Точилки для ножей», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;44 105;0,00056;
февраль 2018;39 003;0,00050;
март 2018;40 734;0,00048;
апрель 2018;27 996;0,00036;
май 2018;26 185;0,00034;
июнь 2018;25 140;0,00036;
июль 2018;27 354;0,00039;
август 2018;33 314;0,00047;
сентябрь 2018;38 311;0,00048;
октябрь 2018;50 798;0,00055;
ноябрь 2018;50 813;0,00059;
декабрь 2018;54 346;0,00063;
январь 2019;62 724;0,00071;
февраль 2019;53 851;0,00064;
март 2019;52 764;0,00060;
апрель 2019;36 326;0,00043;
май 2019;33 244;0,00042;
июнь 2019;29 659;0,00040;
июль 2019;33 347;0,00045;
август 2019;40 129;0,00055;
сентябрь 2019;43 791;0,00055;
октябрь 2019;49 003;0,00055;
ноябрь 2019;58 133;0,00065;
декабрь 2019;65 611;0,00070;
январь 2020;70 955;0,00072;
февраль 2020;61 433;0,00066;
март 2020;50 585;0,00051;
апрель 2020;46 307;0,00038;
май 2020;52 337;0,00048;
июнь 2020;45 533;0,00051;
июль 2020;48 603;0,00057;
август 2020;50 536;0,00060;
сентябрь 2020;54 057;0,00056;
октябрь 2020;63 352;0,00058;
ноябрь 2020;77 090;0,00067;
декабрь 2020;83 787;0,00075;
январь 2021;90 411;0,00086;
февраль 2021;80 379;0,00080;
март 2021;73 728;0,00067;
апрель 2021;54 603;0,00050;
май 2021;50 566;0,00049;
июнь 2021;44 754;0,00045;
июль 2021;52 140;0,00053;
август 2021;67 245;0,00067;
сентябрь 2021;74 160;0,00069;
октябрь 2021;75 731;0,00066;
ноябрь 2021;82 541;0,00071;
декабрь 2021;90 042;0,00075;
январь 2022;100 878;0,00084;
февраль 2022;89 933;0,00076;
март 2022;64 900;0,00050;
апрель 2022;59 326;0,00049;
май 2022;55 767;0,00046;
июнь 2022;53 934;0,00050;
июль 2022;58 552;0,00056;
август 2022;67 941;0,00063;
сентябрь 2022;66 538;0,00056;
октябрь 2022;76 342;0,00061;
ноябрь 2022;85 779;0,00067;
декабрь 2022;89 893;0,00071;
январь 2023;87 466;0,00070;
февраль 2023;79 833;0,00069;
март 2023;92 980;0,00074;
апрель 2023;59 877;0,00051;
май 2023;55 249;0,00048;
июнь 2023;48 507;0,00047;
июль 2023;54 562;0,00054;
август 2023;57 554;0,00057;
сентябрь 2023;63 012;0,00058;
октябрь 2023;74 836;0,00062;
ноябрь 2023;81 394;0,00069;
декабрь 2023;85 213;0,00071;
январь 2024;83 817;0,00069;
февраль 2024;74 823;0,00066;
март 2024;65 147;0,00056;
апрель 2024;49 439;0,00045;
май 2024;52 125;0,00048;
июнь 2024;42 361;0,00045;
июль 2024;45 600;0,00048;
август 2024;57 373;0,00061;
сентябрь 2024;51 406;0,00051;
октябрь 2024;61 565;0,00054;
ноябрь 2024;69 908;0,00060;
декабрь 2024;77 634;0,00064;
январь 2025;78 932;0,00066;
февраль 2025;74 653;0,00065;
март 2025;68 427;0,00057;
апрель 2025;49 043;0,00043;
май 2025;45 018;0,00042;
июнь 2025;45 249;0,00042;
