Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Весы кухонные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;54 436;0,00070;
февраль 2018;57 322;0,00073;
март 2018;66 068;0,00078;
апрель 2018;47 044;0,00062;
май 2018;40 049;0,00053;
июнь 2018;40 124;0,00057;
июль 2018;48 249;0,00069;
август 2018;55 381;0,00078;
сентябрь 2018;49 252;0,00062;
октябрь 2018;55 723;0,00060;
ноябрь 2018;57 331;0,00067;
декабрь 2018;62 898;0,00073;
январь 2019;62 966;0,00071;
февраль 2019;66 540;0,00079;
март 2019;70 287;0,00080;
апрель 2019;50 488;0,00061;
май 2019;41 416;0,00052;
июнь 2019;39 654;0,00054;
июль 2019;53 475;0,00072;
август 2019;54 903;0,00075;
сентябрь 2019;50 990;0,00064;
октябрь 2019;53 880;0,00060;
ноябрь 2019;58 795;0,00066;
декабрь 2019;64 664;0,00069;
январь 2020;67 392;0,00069;
февраль 2020;71 343;0,00077;
март 2020;67 446;0,00068;
апрель 2020;64 812;0,00054;
май 2020;82 425;0,00076;
июнь 2020;71 513;0,00080;
июль 2020;75 605;0,00089;
август 2020;77 492;0,00092;
сентябрь 2020;72 366;0,00076;
октябрь 2020;73 264;0,00068;
ноябрь 2020;86 491;0,00075;
декабрь 2020;99 269;0,00089;
январь 2021;90 345;0,00086;
февраль 2021;91 749;0,00091;
март 2021;103 619;0,00095;
апрель 2021;83 862;0,00077;
май 2021;57 593;0,00055;
июнь 2021;57 417;0,00057;
июль 2021;71 424;0,00073;
август 2021;82 521;0,00082;
сентябрь 2021;81 187;0,00075;
октябрь 2021;81 101;0,00071;
ноябрь 2021;85 188;0,00073;
декабрь 2021;90 188;0,00076;
январь 2022;83 053;0,00069;
февраль 2022;77 509;0,00065;
март 2022;75 789;0,00059;
апрель 2022;63 608;0,00053;
май 2022;58 070;0,00048;
июнь 2022;51 103;0,00047;
июль 2022;62 825;0,00060;
август 2022;76 471;0,00070;
сентябрь 2022;67 139;0,00057;
октябрь 2022;65 310;0,00052;
ноябрь 2022;67 156;0,00053;
декабрь 2022;66 406;0,00052;
январь 2023;61 020;0,00049;
февраль 2023;66 028;0,00057;
март 2023;73 906;0,00059;
апрель 2023;62 218;0,00053;
май 2023;47 696;0,00042;
июнь 2023;49 619;0,00048;
июль 2023;54 296;0,00053;
август 2023;63 502;0,00063;
сентябрь 2023;58 947;0,00054;
октябрь 2023;68 241;0,00057;
ноябрь 2023;63 991;0,00054;
декабрь 2023;63 060;0,00052;
январь 2024;59 493;0,00049;
февраль 2024;60 448;0,00053;
март 2024;64 280;0,00055;
апрель 2024;59 315;0,00054;
май 2024;48 058;0,00045;
июнь 2024;40 138;0,00042;
июль 2024;46 619;0,00050;
август 2024;49 029;0,00052;
сентябрь 2024;41 851;0,00042;
октябрь 2024;42 917;0,00038;
ноябрь 2024;48 995;0,00042;
декабрь 2024;52 217;0,00043;
январь 2025;51 928;0,00043;
февраль 2025;57 896;0,00050;
март 2025;58 077;0,00048;
апрель 2025;64 740;0,00056;
май 2025;38 674;0,00036;
июнь 2025;38 141;0,00036;
