Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вакууматоры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;11 156;0,00014;
февраль 2018;11 239;0,00014;
март 2018;12 781;0,00015;
апрель 2018;11 886;0,00015;
май 2018;12 270;0,00016;
июнь 2018;12 472;0,00017;
июль 2018;14 236;0,00020;
август 2018;15 341;0,00021;
сентябрь 2018;15 926;0,00020;
октябрь 2018;19 333;0,00020;
ноябрь 2018;15 150;0,00017;
декабрь 2018;25 819;0,00030;
январь 2019;19 449;0,00022;
февраль 2019;18 766;0,00022;
март 2019;21 165;0,00024;
апрель 2019;18 596;0,00022;
май 2019;18 398;0,00023;
июнь 2019;21 916;0,00030;
июль 2019;24 415;0,00033;
август 2019;24 331;0,00033;
сентябрь 2019;25 409;0,00032;
октябрь 2019;24 954;0,00028;
ноябрь 2019;27 813;0,00031;
декабрь 2019;29 161;0,00031;
январь 2020;25 754;0,00026;
февраль 2020;25 712;0,00027;
март 2020;27 871;0,00028;
апрель 2020;24 529;0,00020;
май 2020;32 158;0,00029;
июнь 2020;37 319;0,00041;
июль 2020;42 735;0,00050;
август 2020;39 440;0,00047;
сентябрь 2020;38 677;0,00040;
октябрь 2020;39 839;0,00037;
ноябрь 2020;39 485;0,00034;
декабрь 2020;48 256;0,00043;
январь 2021;42 860;0,00041;
февраль 2021;43 325;0,00043;
март 2021;45 706;0,00041;
апрель 2021;41 509;0,00038;
май 2021;39 524;0,00038;
июнь 2021;52 951;0,00053;
июль 2021;66 521;0,00068;
август 2021;71 415;0,00071;
сентябрь 2021;68 120;0,00063;
октябрь 2021;57 002;0,00050;
ноябрь 2021;62 945;0,00054;
декабрь 2021;75 913;0,00064;
январь 2022;66 919;0,00056;
февраль 2022;61 191;0,00051;
март 2022;66 679;0,00052;
апрель 2022;57 707;0,00048;
май 2022;58 688;0,00049;
июнь 2022;72 324;0,00067;
июль 2022;89 452;0,00085;
август 2022;92 888;0,00086;
сентябрь 2022;84 807;0,00072;
октябрь 2022;82 515;0,00066;
ноябрь 2022;86 157;0,00068;
декабрь 2022;110 543;0,00087;
январь 2023;88 054;0,00071;
февраль 2023;81 344;0,00071;
март 2023;93 355;0,00075;
апрель 2023;73 436;0,00063;
май 2023;75 312;0,00066;
июнь 2023;94 714;0,00092;
июль 2023;116 645;0,00115;
август 2023;119 934;0,00119;
сентябрь 2023;127 056;0,00118;
октябрь 2023;110 007;0,00092;
ноябрь 2023;103 186;0,00087;
декабрь 2023;117 104;0,00098;
январь 2024;103 238;0,00085;
февраль 2024;99 583;0,00088;
март 2024;111 045;0,00096;
апрель 2024;89 880;0,00082;
май 2024;94 390;0,00088;
июнь 2024;115 234;0,00123;
июль 2024;139 213;0,00149;
август 2024;142 307;0,00152;
сентябрь 2024;133 869;0,00134;
октябрь 2024;122 401;0,00109;
ноябрь 2024;136 438;0,00117;
декабрь 2024;166 337;0,00138;
январь 2025;140 732;0,00118;
февраль 2025;129 358;0,00113;
март 2025;129 475;0,00108;
апрель 2025;108 078;0,00094;
май 2025;111 514;0,00104;
июнь 2025;169 391;0,00160;
