Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кастрюли и ковши», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;201;0,0000025;
февраль 2018;163;0,0000021;
март 2018;239;0,0000028;
апрель 2018;125;0,0000016;
май 2018;190;0,0000025;
июнь 2018;169;0,0000024;
июль 2018;170;0,0000024;
август 2018;155;0,0000021;
сентябрь 2018;188;0,0000023;
октябрь 2018;317;0,0000034;
ноябрь 2018;221;0,0000026;
декабрь 2018;275;0,0000032;
январь 2019;320;0,0000036;
февраль 2019;429;0,0000051;
март 2019;294;0,0000033;
апрель 2019;211;0,0000025;
май 2019;149;0,0000018;
июнь 2019;191;0,0000026;
июль 2019;287;0,0000039;
август 2019;274;0,0000037;
сентябрь 2019;314;0,0000039;
октябрь 2019;403;0,0000045;
ноябрь 2019;402;0,0000045;
декабрь 2019;492;0,0000053;
январь 2020;422;0,0000043;
февраль 2020;357;0,0000038;
март 2020;321;0,0000032;
апрель 2020;358;0,0000029;
май 2020;348;0,0000032;
июнь 2020;240;0,0000026;
июль 2020;296;0,0000035;
август 2020;267;0,0000031;
сентябрь 2020;300;0,0000031;
октябрь 2020;377;0,0000035;
ноябрь 2020;403;0,0000035;
декабрь 2020;503;0,0000045;
январь 2021;474;0,0000045;
февраль 2021;454;0,0000045;
март 2021;331;0,0000030;
апрель 2021;358;0,0000033;
май 2021;199;0,0000019;
июнь 2021;256;0,0000025;
июль 2021;289;0,0000029;
август 2021;288;0,0000028;
сентябрь 2021;389;0,0000036;
октябрь 2021;350;0,0000030;
ноябрь 2021;396;0,0000034;
декабрь 2021;503;0,0000042;
январь 2022;462;0,0000038;
февраль 2022;411;0,0000034;
март 2022;385;0,0000030;
апрель 2022;202;0,0000016;
май 2022;242;0,0000020;
июнь 2022;255;0,0000023;
июль 2022;300;0,0000028;
август 2022;274;0,0000025;
сентябрь 2022;295;0,0000025;
октябрь 2022;313;0,0000025;
ноябрь 2022;495;0,0000039;
декабрь 2022;415;0,0000032;
январь 2023;427;0,0000034;
февраль 2023;336;0,0000029;
март 2023;378;0,0000030;
апрель 2023;227;0,0000019;
май 2023;213;0,0000018;
июнь 2023;243;0,0000023;
июль 2023;337;0,0000033;
август 2023;320;0,0000031;
сентябрь 2023;323;0,0000030;
октябрь 2023;393;0,0000032;
ноябрь 2023;436;0,0000037;
декабрь 2023;432;0,0000036;
январь 2024;501;0,0000041;
февраль 2024;377;0,0000033;
март 2024;398;0,0000034;
апрель 2024;267;0,0000024;
май 2024;243;0,0000022;
июнь 2024;216;0,0000023;
июль 2024;230;0,0000024;
август 2024;319;0,0000034;
сентябрь 2024;274;0,0000027;
октябрь 2024;343;0,0000030;
ноябрь 2024;420;0,0000036;
декабрь 2024;422;0,0000035;
январь 2025;410;0,0000034;
февраль 2025;425;0,0000037;
март 2025;485;0,0000040;
апрель 2025;317;0,0000027;
май 2025;252;0,0000023;
июнь 2025;280;0,0000026;
