Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Миски, тазы, кружки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;87 532;0,00112;
февраль 2018;88 986;0,00114;
март 2018;97 600;0,00116;
апрель 2018;84 944;0,00112;
май 2018;72 892;0,00097;
июнь 2018;69 158;0,00099;
июль 2018;73 111;0,00104;
август 2018;78 065;0,00110;
сентябрь 2018;82 019;0,00103;
октябрь 2018;104 308;0,00113;
ноябрь 2018;100 367;0,00118;
декабрь 2018;96 540;0,00112;
январь 2019;102 983;0,00116;
февраль 2019;106 440;0,00126;
март 2019;117 998;0,00134;
апрель 2019;109 249;0,00132;
май 2019;94 998;0,00120;
июнь 2019;85 616;0,00118;
июль 2019;93 364;0,00126;
август 2019;93 773;0,00128;
сентябрь 2019;95 461;0,00121;
октябрь 2019;116 859;0,00132;
ноябрь 2019;119 799;0,00134;
декабрь 2019;123 323;0,00132;
январь 2020;150 510;0,00154;
февраль 2020;135 829;0,00147;
март 2020;128 356;0,00130;
апрель 2020;181 368;0,00151;
май 2020;214 225;0,00199;
июнь 2020;135 547;0,00151;
июль 2020;126 139;0,00149;
август 2020;127 338;0,00151;
сентябрь 2020;150 973;0,00159;
октябрь 2020;165 309;0,00153;
ноябрь 2020;178 295;0,00155;
декабрь 2020;162 457;0,00146;
январь 2021;166 036;0,00159;
февраль 2021;162 226;0,00162;
март 2021;174 127;0,00159;
апрель 2021;170 622;0,00158;
май 2021;145 908;0,00141;
июнь 2021;137 681;0,00138;
июль 2021;146 738;0,00151;
август 2021;162 124;0,00161;
сентябрь 2021;163 132;0,00152;
октябрь 2021;198 046;0,00174;
ноябрь 2021;193 458;0,00166;
декабрь 2021;184 256;0,00155;
январь 2022;205 702;0,00172;
февраль 2022;216 724;0,00183;
март 2022;203 647;0,00159;
апрель 2022;205 655;0,00172;
май 2022;192 176;0,00161;
июнь 2022;158 349;0,00147;
июль 2022;172 362;0,00165;
август 2022;180 354;0,00167;
сентябрь 2022;164 977;0,00141;
октябрь 2022;193 770;0,00156;
ноябрь 2022;214 479;0,00169;
декабрь 2022;184 471;0,00146;
январь 2023;196 268;0,00159;
февраль 2023;200 155;0,00175;
март 2023;196 482;0,00157;
апрель 2023;184 241;0,00159;
май 2023;180 382;0,00159;
июнь 2023;159 302;0,00155;
июль 2023;158 666;0,00157;
август 2023;162 057;0,00161;
сентябрь 2023;166 580;0,00154;
октябрь 2023;206 617;0,00173;
ноябрь 2023;198 882;0,00169;
декабрь 2023;178 115;0,00149;
январь 2024;192 580;0,00159;
февраль 2024;199 685;0,00177;
март 2024;183 457;0,00159;
апрель 2024;173 873;0,00160;
май 2024;170 552;0,00160;
июнь 2024;139 014;0,00148;
июль 2024;148 087;0,00159;
август 2024;145 209;0,00155;
сентябрь 2024;147 807;0,00148;
октябрь 2024;177 019;0,00157;
ноябрь 2024;189 242;0,00162;
декабрь 2024;182 080;0,00151;
январь 2025;202 941;0,00171;
февраль 2025;205 283;0,00179;
март 2025;195 276;0,00162;
апрель 2025;176 396;0,00154;
май 2025;166 419;0,00155;
июнь 2025;157 830;0,00149;
