Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Наборы посуды для приготовления пищи», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;133;0,0000017;
февраль 2018;79;0,0000010;
март 2018;120;0,0000014;
апрель 2018;94;0,0000012;
май 2018;118;0,0000015;
июнь 2018;122;0,0000017;
июль 2018;152;0,0000021;
август 2018;136;0,0000019;
сентябрь 2018;116;0,0000014;
октябрь 2018;221;0,0000023;
ноябрь 2018;176;0,0000020;
декабрь 2018;197;0,0000023;
январь 2019;204;0,0000023;
февраль 2019;169;0,0000020;
март 2019;189;0,0000021;
апрель 2019;158;0,0000019;
май 2019;148;0,0000018;
июнь 2019;138;0,0000019;
июль 2019;160;0,0000021;
август 2019;173;0,0000023;
сентябрь 2019;246;0,0000031;
октябрь 2019;208;0,0000023;
ноябрь 2019;218;0,0000024;
декабрь 2019;323;0,0000034;
январь 2020;372;0,0000038;
февраль 2020;512;0,0000055;
март 2020;542;0,0000055;
апрель 2020;487;0,0000040;
май 2020;362;0,0000033;
июнь 2020;230;0,0000025;
июль 2020;232;0,0000027;
август 2020;264;0,0000031;
сентябрь 2020;329;0,0000034;
октябрь 2020;332;0,0000030;
ноябрь 2020;321;0,0000028;
декабрь 2020;423;0,0000038;
январь 2021;377;0,0000036;
февраль 2021;331;0,0000033;
март 2021;282;0,0000025;
апрель 2021;272;0,0000025;
май 2021;211;0,0000020;
июнь 2021;224;0,0000022;
июль 2021;330;0,0000034;
август 2021;356;0,0000035;
сентябрь 2021;449;0,0000041;
октябрь 2021;483;0,0000042;
ноябрь 2021;519;0,0000044;
декабрь 2021;548;0,0000046;
январь 2022;496;0,0000041;
февраль 2022;629;0,0000053;
март 2022;492;0,0000038;
апрель 2022;473;0,0000039;
май 2022;367;0,0000030;
июнь 2022;239;0,0000022;
июль 2022;361;0,0000034;
август 2022;1 435;0,0000133;
сентябрь 2022;298;0,0000025;
октябрь 2022;338;0,0000027;
ноябрь 2022;359;0,0000028;
декабрь 2022;361;0,0000028;
январь 2023;471;0,0000038;
февраль 2023;500;0,0000043;
март 2023;720;0,0000057;
апрель 2023;365;0,0000031;
май 2023;308;0,0000027;
июнь 2023;246;0,0000023;
июль 2023;212;0,0000021;
август 2023;337;0,0000033;
сентябрь 2023;266;0,0000024;
октябрь 2023;390;0,0000032;
ноябрь 2023;409;0,0000034;
декабрь 2023;466;0,0000039;
январь 2024;765;0,0000063;
февраль 2024;728;0,0000064;
март 2024;619;0,0000053;
апрель 2024;513;0,0000047;
май 2024;410;0,0000038;
июнь 2024;249;0,0000026;
июль 2024;284;0,0000030;
август 2024;272;0,0000029;
сентябрь 2024;267;0,0000026;
октябрь 2024;475;0,0000042;
ноябрь 2024;638;0,0000054;
декабрь 2024;607;0,0000050;
январь 2025;927;0,0000078;
февраль 2025;3 140;0,0000275;
март 2025;1 642;0,0000137;
апрель 2025;891;0,0000078;
май 2025;710;0,0000066;
июнь 2025;507;0,0000048;
