Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Контейнеры и емкости для хранения», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;126;0,0000015;
май 2019;143;0,0000018;
июнь 2019;126;0,0000017;
июль 2019;112;0,0000015;
август 2019;140;0,0000019;
сентябрь 2019;109;0,0000013;
октябрь 2019;139;0,0000015;
ноябрь 2019;162;0,0000018;
декабрь 2019;237;0,0000025;
январь 2020;137;0,0000014;
февраль 2020;151;0,0000016;
март 2020;200;0,0000020;
апрель 2020;159;0,0000013;
май 2020;143;0,0000013;
июнь 2020;152;0,0000017;
июль 2020;114;0,0000013;
август 2020;120;0,0000014;
сентябрь 2020;209;0,0000022;
октябрь 2020;162;0,0000015;
ноябрь 2020;188;0,0000016;
декабрь 2020;200;0,0000018;
январь 2021;138;0,0000013;
февраль 2021;189;0,0000018;
март 2021;235;0,0000021;
апрель 2021;291;0,0000026;
май 2021;300;0,0000029;
июнь 2021;246;0,0000024;
июль 2021;217;0,0000022;
август 2021;257;0,0000025;
сентябрь 2021;246;0,0000022;
октябрь 2021;266;0,0000023;
ноябрь 2021;334;0,0000028;
декабрь 2021;296;0,0000024;
январь 2022;252;0,0000021;
февраль 2022;666;0,0000056;
март 2022;324;0,0000025;
апрель 2022;333;0,0000027;
май 2022;359;0,0000030;
июнь 2022;333;0,0000031;
июль 2022;263;0,0000025;
август 2022;272;0,0000025;
сентябрь 2022;362;0,0000030;
октябрь 2022;377;0,0000030;
ноябрь 2022;409;0,0000032;
декабрь 2022;409;0,0000032;
январь 2023;302;0,0000024;
февраль 2023;424;0,0000037;
март 2023;432;0,0000034;
апрель 2023;459;0,0000039;
май 2023;404;0,0000035;
июнь 2023;339;0,0000033;
июль 2023;209;0,0000020;
август 2023;320;0,0000031;
сентябрь 2023;404;0,0000037;
октябрь 2023;576;0,0000048;
ноябрь 2023;449;0,0000038;
декабрь 2023;388;0,0000032;
январь 2024;275;0,0000022;
февраль 2024;432;0,0000038;
март 2024;407;0,0000035;
апрель 2024;465;0,0000042;
май 2024;423;0,0000039;
июнь 2024;311;0,0000033;
июль 2024;334;0,0000035;
август 2024;285;0,0000030;
сентябрь 2024;426;0,0000042;
октябрь 2024;525;0,0000046;
ноябрь 2024;685;0,0000058;
декабрь 2024;509;0,0000042;
январь 2025;402;0,0000033;
февраль 2025;515;0,0000045;
март 2025;591;0,0000049;
апрель 2025;625;0,0000054;
май 2025;490;0,0000045;
июнь 2025;458;0,0000043;
