Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фильтры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 488 866;0,044;
февраль 2018;3 494 343;0,045;
март 2018;4 017 826;0,047;
апрель 2018;3 974 130;0,052;
май 2018;4 102 363;0,054;
июнь 2018;3 878 512;0,055;
июль 2018;3 956 917;0,056;
август 2018;3 910 092;0,055;
сентябрь 2018;3 901 979;0,049;
октябрь 2018;4 835 176;0,052;
ноябрь 2018;4 409 324;0,051;
декабрь 2018;3 998 132;0,046;
январь 2019;4 087 561;0,046;
февраль 2019;4 089 854;0,048;
март 2019;4 440 552;0,050;
апрель 2019;4 717 014;0,057;
май 2019;4 550 871;0,057;
июнь 2019;4 549 200;0,062;
июль 2019;4 351 127;0,059;
август 2019;3 981 583;0,054;
сентябрь 2019;4 078 602;0,051;
октябрь 2019;4 641 985;0,052;
ноябрь 2019;4 634 367;0,052;
декабрь 2019;4 533 744;0,048;
январь 2020;4 762 532;0,048;
февраль 2020;4 704 910;0,051;
март 2020;5 336 250;0,054;
апрель 2020;5 264 596;0,044;
май 2020;5 576 338;0,051;
июнь 2020;5 937 157;0,066;
июль 2020;5 485 276;0,065;
август 2020;4 836 544;0,057;
сентябрь 2020;4 930 215;0,051;
октябрь 2020;5 595 121;0,052;
ноябрь 2020;5 797 573;0,050;
декабрь 2020;5 508 784;0,049;
январь 2021;5 311 114;0,050;
февраль 2021;5 143 389;0,051;
март 2021;5 838 507;0,053;
апрель 2021;6 173 242;0,057;
май 2021;6 085 874;0,058;
июнь 2021;6 447 995;0,064;
июль 2021;6 405 367;0,066;
август 2021;6 059 988;0,060;
сентябрь 2021;5 852 018;0,054;
октябрь 2021;6 121 177;0,053;
ноябрь 2021;6 353 564;0,054;
декабрь 2021;6 157 460;0,051;
январь 2022;5 965 144;0,050;
февраль 2022;5 727 804;0,048;
март 2022;8 794 944;0,068;
апрель 2022;7 489 221;0,062;
май 2022;7 325 837;0,061;
июнь 2022;7 434 911;0,069;
июль 2022;7 171 847;0,068;
август 2022;7 125 733;0,066;
сентябрь 2022;6 362 947;0,054;
октябрь 2022;6 848 349;0,055;
ноябрь 2022;7 196 531;0,057;
декабрь 2022;6 504 350;0,051;
январь 2023;6 450 087;0,052;
февраль 2023;5 995 517;0,052;
март 2023;6 921 159;0,055;
апрель 2023;6 930 252;0,060;
май 2023;7 057 684;0,062;
июнь 2023;6 981 927;0,068;
июль 2023;6 803 756;0,067;
август 2023;6 578 629;0,065;
сентябрь 2023;6 262 215;0,058;
октябрь 2023;7 242 461;0,060;
ноябрь 2023;6 928 204;0,059;
декабрь 2023;6 340 521;0,053;
январь 2024;6 582 390;0,054;
февраль 2024;6 365 219;0,056;
март 2024;6 807 466;0,059;
апрель 2024;7 080 392;0,065;
май 2024;7 011 165;0,065;
июнь 2024;7 025 794;0,075;
июль 2024;7 121 114;0,076;
август 2024;6 154 676;0,065;
сентябрь 2024;6 095 103;0,061;
октябрь 2024;7 112 783;0,063;
ноябрь 2024;7 118 267;0,061;
декабрь 2024;6 881 966;0,057;
январь 2025;6 691 624;0,056;
февраль 2025;6 865 078;0,060;
март 2025;7 435 715;0,062;
апрель 2025;7 364 452;0,064;
май 2025;7 213 432;0,067;
июнь 2025;7 956 949;0,075;
