Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Подложки под горячее, подносы, прихватки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;123;0,00000158;
февраль 2018;85;0,00000109;
март 2018;104;0,00000123;
апрель 2018;58;0,00000076;
май 2018;53;0,00000070;
июнь 2018;54;0,00000077;
июль 2018;85;0,00000121;
август 2018;75;0,00000106;
сентябрь 2018;86;0,00000108;
октябрь 2018;112;0,00000121;
ноябрь 2018;79;0,00000092;
декабрь 2018;116;0,00000135;
январь 2019;103;0,00000116;
февраль 2019;73;0,00000087;
март 2019;90;0,00000102;
апрель 2019;95;0,00000114;
май 2019;75;0,00000094;
июнь 2019;60;0,00000082;
июль 2019;51;0,00000069;
август 2019;110;0,00000151;
сентябрь 2019;111;0,00000141;
октябрь 2019;91;0,00000102;
ноябрь 2019;134;0,00000150;
декабрь 2019;103;0,00000111;
январь 2020;104;0,00000106;
февраль 2020;105;0,00000114;
март 2020;77;0,00000078;
апрель 2020;76;0,00000063;
май 2020;106;0,00000098;
июнь 2020;67;0,00000075;
июль 2020;78;0,00000092;
август 2020;82;0,00000097;
сентябрь 2020;114;0,00000120;
октябрь 2020;131;0,00000121;
ноябрь 2020;143;0,00000124;
декабрь 2020;188;0,00000170;
январь 2021;148;0,00000141;
февраль 2021;130;0,00000130;
март 2021;114;0,00000104;
апрель 2021;127;0,00000117;
май 2021;91;0,00000088;
июнь 2021;92;0,00000092;
июль 2021;107;0,00000110;
август 2021;157;0,00000156;
сентябрь 2021;148;0,00000138;
октябрь 2021;179;0,00000157;
ноябрь 2021;144;0,00000124;
декабрь 2021;137;0,00000115;
январь 2022;144;0,00000120;
февраль 2022;140;0,00000118;
март 2022;135;0,00000105;
апрель 2022;117;0,00000097;
май 2022;119;0,00000099;
июнь 2022;96;0,00000089;
июль 2022;111;0,00000106;
август 2022;131;0,00000121;
сентябрь 2022;124;0,00000106;
октябрь 2022;137;0,00000110;
ноябрь 2022;143;0,00000113;
декабрь 2022;158;0,00000125;
январь 2023;157;0,00000127;
февраль 2023;167;0,00000146;
март 2023;141;0,00000113;
апрель 2023;131;0,00000113;
май 2023;112;0,00000099;
июнь 2023;94;0,00000091;
июль 2023;111;0,00000110;
август 2023;120;0,00000119;
сентябрь 2023;122;0,00000113;
октябрь 2023;132;0,00000110;
ноябрь 2023;150;0,00000127;
декабрь 2023;137;0,00000114;
январь 2024;152;0,00000126;
февраль 2024;192;0,00000170;
март 2024;143;0,00000123;
апрель 2024;106;0,00000097;
май 2024;96;0,00000090;
июнь 2024;104;0,00000111;
июль 2024;81;0,00000087;
август 2024;115;0,00000122;
сентябрь 2024;79;0,00000079;
октябрь 2024;128;0,00000114;
ноябрь 2024;117;0,00000100;
декабрь 2024;223;0,00000185;
январь 2025;125;0,00000105;
февраль 2025;122;0,00000106;
март 2025;109;0,00000090;
апрель 2025;136;0,00000119;
май 2025;105;0,00000098;
июнь 2025;127;0,00000120;
