Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Подставки и держатели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;305;0,0000039;
февраль 2018;330;0,0000042;
март 2018;385;0,0000045;
апрель 2018;367;0,0000048;
май 2018;288;0,0000038;
июнь 2018;256;0,0000036;
июль 2018;300;0,0000042;
август 2018;301;0,0000042;
сентябрь 2018;423;0,0000053;
октябрь 2018;406;0,0000044;
ноябрь 2018;426;0,0000050;
декабрь 2018;376;0,0000043;
январь 2019;402;0,0000045;
февраль 2019;370;0,0000044;
март 2019;428;0,0000048;
апрель 2019;348;0,0000042;
май 2019;324;0,0000040;
июнь 2019;284;0,0000039;
июль 2019;316;0,0000042;
август 2019;266;0,0000036;
сентябрь 2019;318;0,0000040;
октябрь 2019;434;0,0000049;
ноябрь 2019;417;0,0000046;
декабрь 2019;496;0,0000053;
январь 2020;412;0,0000042;
февраль 2020;489;0,0000053;
март 2020;392;0,0000039;
апрель 2020;437;0,0000036;
май 2020;512;0,0000047;
июнь 2020;404;0,0000045;
июль 2020;422;0,0000050;
август 2020;456;0,0000054;
сентябрь 2020;447;0,0000047;
октябрь 2020;568;0,0000052;
ноябрь 2020;666;0,0000058;
декабрь 2020;608;0,0000055;
январь 2021;636;0,0000060;
февраль 2021;522;0,0000052;
март 2021;747;0,0000068;
апрель 2021;3 647;0,0000338;
май 2021;2 756;0,0000267;
июнь 2021;2 029;0,0000204;
июль 2021;3 635;0,0000374;
август 2021;4 316;0,0000430;
сентябрь 2021;5 007;0,0000467;
октябрь 2021;5 664;0,0000498;
ноябрь 2021;3 477;0,0000300;
декабрь 2021;3 592;0,0000303;
январь 2022;3 416;0,0000286;
февраль 2022;3 336;0,0000282;
март 2022;1 114;0,0000087;
апрель 2022;725;0,0000060;
май 2022;646;0,0000054;
июнь 2022;761;0,0000071;
июль 2022;792;0,0000075;
август 2022;952;0,0000088;
сентябрь 2022;797;0,0000068;
октябрь 2022;667;0,0000053;
ноябрь 2022;868;0,0000068;
декабрь 2022;841;0,0000066;
январь 2023;795;0,0000064;
февраль 2023;788;0,0000069;
март 2023;865;0,0000069;
апрель 2023;623;0,0000053;
май 2023;660;0,0000058;
июнь 2023;784;0,0000076;
июль 2023;874;0,0000086;
август 2023;931;0,0000092;
сентябрь 2023;946;0,0000087;
октябрь 2023;1 125;0,0000094;
ноябрь 2023;1 069;0,0000091;
декабрь 2023;1 177;0,0000098;
январь 2024;1 058;0,0000087;
февраль 2024;1 178;0,0000104;
март 2024;1 084;0,0000093;
апрель 2024;1 122;0,0000103;
май 2024;1 139;0,0000106;
июнь 2024;890;0,0000095;
июль 2024;966;0,0000103;
август 2024;851;0,0000091;
сентябрь 2024;714;0,0000071;
октябрь 2024;934;0,0000083;
ноябрь 2024;1 063;0,0000091;
декабрь 2024;907;0,0000075;
январь 2025;1 008;0,0000084;
февраль 2025;935;0,0000081;
март 2025;902;0,0000075;
апрель 2025;866;0,0000076;
май 2025;619;0,0000057;
июнь 2025;688;0,0000065;
