Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Формы для льда», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 587;0,000046;
февраль 2018;3 610;0,000046;
март 2018;4 252;0,000050;
апрель 2018;3 673;0,000048;
май 2018;3 797;0,000050;
июнь 2018;3 712;0,000053;
июль 2018;4 607;0,000065;
август 2018;4 358;0,000061;
сентябрь 2018;3 435;0,000043;
октябрь 2018;4 342;0,000047;
ноябрь 2018;4 362;0,000051;
декабрь 2018;5 361;0,000062;
январь 2019;4 733;0,000053;
февраль 2019;4 462;0,000053;
март 2019;4 216;0,000048;
апрель 2019;3 821;0,000046;
май 2019;4 171;0,000052;
июнь 2019;5 418;0,000074;
июль 2019;4 762;0,000064;
август 2019;3 847;0,000052;
сентябрь 2019;3 616;0,000045;
октябрь 2019;4 627;0,000052;
ноябрь 2019;4 967;0,000055;
декабрь 2019;6 991;0,000075;
январь 2020;5 840;0,000060;
февраль 2020;5 677;0,000061;
март 2020;5 048;0,000051;
апрель 2020;5 453;0,000045;
май 2020;6 926;0,000064;
июнь 2020;8 810;0,000098;
июль 2020;9 109;0,000108;
август 2020;6 479;0,000077;
сентябрь 2020;5 374;0,000056;
октябрь 2020;8 245;0,000076;
ноябрь 2020;7 826;0,000068;
декабрь 2020;10 449;0,000094;
январь 2021;8 649;0,000082;
февраль 2021;8 191;0,000081;
март 2021;9 185;0,000084;
апрель 2021;9 132;0,000084;
май 2021;10 914;0,000105;
июнь 2021;14 848;0,000149;
июль 2021;18 345;0,000189;
август 2021;13 135;0,000131;
сентябрь 2021;8 939;0,000083;
октябрь 2021;9 507;0,000083;
ноябрь 2021;10 115;0,000087;
декабрь 2021;11 253;0,000094;
январь 2022;9 743;0,000081;
февраль 2022;8 710;0,000073;
март 2022;7 562;0,000059;
апрель 2022;7 953;0,000066;
май 2022;8 516;0,000071;
июнь 2022;10 673;0,000099;
июль 2022;12 191;0,000116;
август 2022;11 323;0,000105;
сентябрь 2022;7 288;0,000062;
октябрь 2022;8 334;0,000067;
ноябрь 2022;9 296;0,000073;
декабрь 2022;10 984;0,000087;
январь 2023;8 331;0,000067;
февраль 2023;8 075;0,000070;
март 2023;8 954;0,000071;
апрель 2023;8 508;0,000073;
май 2023;9 936;0,000087;
июнь 2023;12 190;0,000118;
июль 2023;11 945;0,000118;
август 2023;11 204;0,000111;
сентябрь 2023;8 054;0,000074;
октябрь 2023;10 298;0,000086;
ноябрь 2023;10 528;0,000089;
декабрь 2023;11 736;0,000098;
январь 2024;10 122;0,000083;
февраль 2024;9 076;0,000080;
март 2024;8 869;0,000076;
апрель 2024;9 523;0,000087;
май 2024;11 649;0,000109;
июнь 2024;13 761;0,000147;
июль 2024;16 365;0,000175;
август 2024;9 263;0,000099;
сентябрь 2024;7 029;0,000070;
октябрь 2024;8 798;0,000078;
ноябрь 2024;9 858;0,000084;
декабрь 2024;10 667;0,000088;
январь 2025;8 607;0,000072;
февраль 2025;7 619;0,000066;
март 2025;7 576;0,000063;
апрель 2025;8 582;0,000075;
май 2025;8 751;0,000081;
июнь 2025;11 468;0,000108;
