Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Наборы для напитков подарочные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;63;0,00000081;
февраль 2018;98;0,00000126;
март 2018;83;0,00000098;
апрель 2018;66;0,00000087;
май 2018;38;0,00000050;
июнь 2018;47;0,00000067;
июль 2018;38;0,00000054;
август 2018;55;0,00000077;
сентябрь 2018;21;0,00000026;
октябрь 2018;37;0,00000040;
ноябрь 2018;60;0,00000070;
декабрь 2018;86;0,00000100;
январь 2019;44;0,00000049;
февраль 2019;84;0,00000100;
март 2019;45;0,00000051;
апрель 2019;26;0,00000031;
май 2019;54;0,00000068;
июнь 2019;42;0,00000057;
июль 2019;32;0,00000043;
август 2019;26;0,00000035;
сентябрь 2019;28;0,00000035;
октябрь 2019;40;0,00000045;
ноябрь 2019;44;0,00000049;
декабрь 2019;105;0,00000113;
январь 2020;65;0,00000066;
февраль 2020;83;0,00000090;
март 2020;52;0,00000052;
апрель 2020;20;0,00000016;
май 2020;42;0,00000039;
июнь 2020;41;0,00000045;
июль 2020;46;0,00000054;
август 2020;34;0,00000040;
сентябрь 2020;37;0,00000038;
октябрь 2020;58;0,00000053;
ноябрь 2020;87;0,00000075;
декабрь 2020;165;0,00000149;
январь 2021;96;0,00000091;
февраль 2021;133;0,00000133;
март 2021;67;0,00000061;
апрель 2021;55;0,00000051;
май 2021;68;0,00000065;
июнь 2021;71;0,00000071;
июль 2021;74;0,00000076;
август 2021;53;0,00000052;
сентябрь 2021;63;0,00000058;
октябрь 2021;61;0,00000053;
ноябрь 2021;91;0,00000078;
декабрь 2021;312;0,00000263;
январь 2022;139;0,00000116;
февраль 2022;197;0,00000166;
март 2022;118;0,00000092;
апрель 2022;100;0,00000083;
май 2022;97;0,00000081;
июнь 2022;75;0,00000069;
июль 2022;114;0,00000109;
август 2022;65;0,00000060;
сентябрь 2022;72;0,00000061;
октябрь 2022;98;0,00000079;
ноябрь 2022;107;0,00000084;
декабрь 2022;171;0,00000135;
январь 2023;149;0,00000120;
февраль 2023;199;0,00000174;
март 2023;123;0,00000098;
апрель 2023;77;0,00000066;
май 2023;56;0,00000049;
июнь 2023;78;0,00000076;
июль 2023;60;0,00000059;
август 2023;89;0,00000088;
сентябрь 2023;74;0,00000068;
октябрь 2023;87;0,00000072;
ноябрь 2023;92;0,00000078;
декабрь 2023;173;0,00000144;
январь 2024;138;0,00000114;
февраль 2024;231;0,00000205;
март 2024;106;0,00000091;
апрель 2024;58;0,00000053;
май 2024;67;0,00000062;
июнь 2024;52;0,00000055;
июль 2024;74;0,00000079;
август 2024;51;0,00000054;
сентябрь 2024;59;0,00000059;
октябрь 2024;93;0,00000082;
ноябрь 2024;153;0,00000131;
декабрь 2024;178;0,00000148;
январь 2025;105;0,00000088;
февраль 2025;113;0,00000099;
март 2025;56;0,00000046;
апрель 2025;48;0,00000042;
май 2025;46;0,00000043;
июнь 2025;52;0,00000049;
