Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Чайные и кофейные сервизы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;267;0,0000034;
февраль 2018;303;0,0000039;
март 2018;252;0,0000029;
апрель 2018;250;0,0000032;
май 2018;255;0,0000033;
июнь 2018;230;0,0000033;
июль 2018;204;0,0000029;
август 2018;186;0,0000026;
сентябрь 2018;214;0,0000027;
октябрь 2018;289;0,0000031;
ноябрь 2018;236;0,0000027;
декабрь 2018;289;0,0000033;
январь 2019;266;0,0000030;
февраль 2019;249;0,0000029;
март 2019;200;0,0000022;
апрель 2019;223;0,0000026;
май 2019;260;0,0000032;
июнь 2019;161;0,0000022;
июль 2019;145;0,0000019;
август 2019;184;0,0000025;
сентябрь 2019;197;0,0000025;
октябрь 2019;259;0,0000029;
ноябрь 2019;328;0,0000036;
декабрь 2019;227;0,0000024;
январь 2020;284;0,0000029;
февраль 2020;334;0,0000036;
март 2020;256;0,0000026;
апрель 2020;363;0,0000030;
май 2020;292;0,0000027;
июнь 2020;435;0,0000048;
июль 2020;258;0,0000030;
август 2020;283;0,0000033;
сентябрь 2020;232;0,0000024;
октябрь 2020;261;0,0000024;
ноябрь 2020;372;0,0000032;
декабрь 2020;366;0,0000033;
январь 2021;366;0,0000035;
февраль 2021;441;0,0000044;
март 2021;518;0,0000047;
апрель 2021;374;0,0000034;
май 2021;278;0,0000026;
июнь 2021;240;0,0000024;
июль 2021;227;0,0000023;
август 2021;272;0,0000027;
сентябрь 2021;269;0,0000025;
октябрь 2021;326;0,0000028;
ноябрь 2021;359;0,0000030;
декабрь 2021;293;0,0000024;
январь 2022;327;0,0000027;
февраль 2022;341;0,0000028;
март 2022;257;0,0000020;
апрель 2022;316;0,0000026;
май 2022;237;0,0000019;
июнь 2022;226;0,0000021;
июль 2022;260;0,0000024;
август 2022;263;0,0000024;
сентябрь 2022;352;0,0000030;
октябрь 2022;292;0,0000023;
ноябрь 2022;309;0,0000024;
декабрь 2022;261;0,0000020;
январь 2023;319;0,0000025;
февраль 2023;306;0,0000026;
март 2023;276;0,0000022;
апрель 2023;231;0,0000020;
май 2023;215;0,0000019;
июнь 2023;200;0,0000019;
июль 2023;139;0,0000013;
август 2023;201;0,0000020;
сентябрь 2023;183;0,0000017;
октябрь 2023;315;0,0000026;
ноябрь 2023;254;0,0000021;
декабрь 2023;199;0,0000016;
январь 2024;284;0,0000023;
февраль 2024;275;0,0000024;
март 2024;289;0,0000025;
апрель 2024;273;0,0000025;
май 2024;226;0,0000021;
июнь 2024;178;0,0000019;
июль 2024;181;0,0000019;
август 2024;101;0,0000010;
сентябрь 2024;174;0,0000017;
октябрь 2024;193;0,0000017;
ноябрь 2024;240;0,0000020;
декабрь 2024;281;0,0000023;
январь 2025;216;0,0000018;
февраль 2025;274;0,0000024;
март 2025;268;0,0000022;
апрель 2025;168;0,0000014;
май 2025;273;0,0000025;
июнь 2025;142;0,0000013;
