Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Супницы и бульонницы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;27;0,000000321;
сентябрь 2020;34;0,000000358;
октябрь 2020;15;0,000000139;
ноябрь 2020;21;0,000000183;
декабрь 2020;38;0,000000343;
январь 2021;14;0,000000134;
февраль 2021;24;0,000000240;
март 2021;33;0,000000303;
апрель 2021;43;0,000000398;
май 2021;12;0,000000116;
июнь 2021;14;0,000000141;
июль 2021;32;0,000000329;
август 2021;28;0,000000279;
сентябрь 2021;36;0,000000336;
октябрь 2021;30;0,000000263;
ноябрь 2021;43;0,000000371;
декабрь 2021;49;0,000000413;
январь 2022;27;0,000000226;
февраль 2022;28;0,000000237;
март 2022;14;0,000000109;
апрель 2022;45;0,000000376;
май 2022;21;0,000000176;
июнь 2022;29;0,000000270;
июль 2022;25;0,000000239;
август 2022;26;0,000000241;
сентябрь 2022;14;0,000000119;
октябрь 2022;11;0,000000088;
ноябрь 2022;32;0,000000253;
декабрь 2022;45;0,000000357;
январь 2023;47;0,000000381;
февраль 2023;26;0,000000227;
март 2023;11;0,000000088;
апрель 2023;20;0,000000173;
май 2023;14;0,000000123;
июнь 2023;21;0,000000204;
июль 2023;20;0,000000198;
август 2023;31;0,000000308;
сентябрь 2023;19;0,000000176;
октябрь 2023;23;0,000000192;
ноябрь 2023;26;0,000000221;
декабрь 2023;34;0,000000284;
январь 2024;42;0,000000348;
февраль 2024;44;0,000000391;
март 2024;29;0,000000251;
апрель 2024;15;0,000000138;
май 2024;18;0,000000168;
июнь 2024;20;0,000000214;
июль 2024;27;0,000000290;
август 2024;26;0,000000278;
сентябрь 2024;18;0,000000181;
октябрь 2024;23;0,000000204;
ноябрь 2024;34;0,000000292;
декабрь 2024;36;0,000000300;
январь 2025;19;0,000000160;
февраль 2025;59;0,000000517;
март 2025;28;0,000000233;
апрель 2025;28;0,000000245;
май 2025;11;0,000000103;
июнь 2025;21;0,000000198;
