Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тортницы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 233;0,000054;
февраль 2018;4 663;0,000060;
март 2018;4 478;0,000053;
апрель 2018;2 922;0,000038;
май 2018;2 662;0,000035;
июнь 2018;2 368;0,000034;
июль 2018;2 492;0,000035;
август 2018;2 772;0,000039;
сентябрь 2018;2 746;0,000034;
октябрь 2018;3 874;0,000042;
ноябрь 2018;3 913;0,000046;
декабрь 2018;4 926;0,000057;
январь 2019;4 382;0,000049;
февраль 2019;4 366;0,000052;
март 2019;4 590;0,000052;
апрель 2019;3 114;0,000037;
май 2019;2 704;0,000034;
июнь 2019;2 223;0,000030;
июль 2019;2 817;0,000038;
август 2019;2 809;0,000038;
сентябрь 2019;3 059;0,000038;
октябрь 2019;3 670;0,000041;
ноябрь 2019;4 028;0,000045;
декабрь 2019;6 600;0,000071;
январь 2020;6 218;0,000063;
февраль 2020;5 380;0,000058;
март 2020;4 816;0,000049;
апрель 2020;3 189;0,000026;
май 2020;4 032;0,000037;
июнь 2020;3 947;0,000044;
июль 2020;4 137;0,000049;
август 2020;3 808;0,000045;
сентябрь 2020;3 801;0,000040;
октябрь 2020;4 164;0,000038;
ноябрь 2020;5 037;0,000043;
декабрь 2020;7 543;0,000068;
январь 2021;6 028;0,000057;
февраль 2021;7 331;0,000073;
март 2021;6 919;0,000063;
апрель 2021;5 398;0,000050;
май 2021;4 323;0,000041;
июнь 2021;4 075;0,000041;
июль 2021;3 839;0,000039;
август 2021;4 303;0,000042;
сентябрь 2021;4 340;0,000040;
октябрь 2021;4 414;0,000038;
ноябрь 2021;5 699;0,000049;
декабрь 2021;7 853;0,000066;
январь 2022;6 629;0,000055;
февраль 2022;6 428;0,000054;
март 2022;5 766;0,000045;
апрель 2022;5 452;0,000045;
май 2022;4 714;0,000039;
июнь 2022;3 822;0,000035;
июль 2022;4 095;0,000039;
август 2022;4 290;0,000039;
сентябрь 2022;3 808;0,000032;
октябрь 2022;4 250;0,000034;
ноябрь 2022;5 827;0,000046;
декабрь 2022;7 244;0,000057;
январь 2023;6 333;0,000051;
февраль 2023;5 897;0,000051;
март 2023;6 018;0,000048;
апрель 2023;4 369;0,000037;
май 2023;3 649;0,000032;
июнь 2023;3 039;0,000029;
июль 2023;3 319;0,000032;
август 2023;3 403;0,000033;
сентябрь 2023;3 374;0,000031;
октябрь 2023;4 318;0,000036;
ноябрь 2023;4 994;0,000042;
декабрь 2023;5 962;0,000049;
январь 2024;5 463;0,000045;
февраль 2024;4 986;0,000044;
март 2024;5 369;0,000046;
апрель 2024;3 574;0,000032;
май 2024;2 992;0,000028;
июнь 2024;2 378;0,000025;
июль 2024;2 681;0,000028;
август 2024;2 684;0,000028;
сентябрь 2024;2 822;0,000028;
октябрь 2024;3 712;0,000033;
ноябрь 2024;4 268;0,000036;
декабрь 2024;5 605;0,000046;
январь 2025;4 917;0,000041;
февраль 2025;4 793;0,000042;
март 2025;5 090;0,000042;
апрель 2025;3 262;0,000028;
май 2025;2 520;0,000023;
июнь 2025;2 782;0,000026;
