Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Коврики», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 625 846;0,020;
февраль 2018;1 636 561;0,021;
март 2018;1 760 714;0,020;
апрель 2018;1 534 503;0,020;
май 2018;1 391 007;0,018;
июнь 2018;1 301 812;0,018;
июль 2018;1 398 768;0,020;
август 2018;1 424 270;0,020;
сентябрь 2018;1 579 264;0,019;
октябрь 2018;1 980 830;0,021;
ноябрь 2018;1 886 019;0,022;
декабрь 2018;1 902 567;0,022;
январь 2019;1 846 880;0,020;
февраль 2019;1 805 804;0,021;
март 2019;1 837 509;0,020;
апрель 2019;1 641 280;0,019;
май 2019;1 435 999;0,018;
июнь 2019;1 393 914;0,019;
июль 2019;1 551 005;0,021;
август 2019;1 514 798;0,020;
сентябрь 2019;1 581 509;0,020;
октябрь 2019;1 900 449;0,021;
ноябрь 2019;1 941 485;0,021;
декабрь 2019;2 002 971;0,021;
январь 2020;1 977 867;0,020;
февраль 2020;1 979 169;0,021;
март 2020;1 884 497;0,019;
апрель 2020;1 875 455;0,015;
май 2020;1 895 092;0,017;
июнь 2020;1 793 909;0,020;
июль 2020;1 784 179;0,021;
август 2020;1 802 690;0,021;
сентябрь 2020;1 859 155;0,019;
октябрь 2020;2 157 498;0,020;
ноябрь 2020;2 442 873;0,021;
декабрь 2020;2 439 203;0,022;
январь 2021;2 346 515;0,022;
февраль 2021;2 314 778;0,023;
март 2021;2 375 910;0,021;
апрель 2021;2 346 875;0,021;
май 2021;2 031 400;0,019;
июнь 2021;2 038 508;0,020;
июль 2021;2 028 643;0,020;
август 2021;2 154 786;0,021;
сентябрь 2021;2 257 138;0,021;
октябрь 2021;2 266 037;0,019;
ноябрь 2021;2 492 190;0,021;
декабрь 2021;2 590 230;0,021;
январь 2022;2 483 508;0,020;
февраль 2022;2 322 353;0,019;
март 2022;2 153 949;0,016;
апрель 2022;2 104 806;0,017;
май 2022;1 937 935;0,016;
июнь 2022;1 792 695;0,016;
июль 2022;1 844 175;0,017;
август 2022;1 910 340;0,017;
сентябрь 2022;1 965 391;0,016;
октябрь 2022;2 229 870;0,018;
ноябрь 2022;2 467 634;0,019;
декабрь 2022;2 319 379;0,018;
январь 2023;2 208 350;0,017;
февраль 2023;2 137 607;0,018;
март 2023;2 270 697;0,018;
апрель 2023;1 922 992;0,016;
май 2023;1 773 775;0,015;
июнь 2023;1 733 626;0,016;
июль 2023;1 830 141;0,018;
август 2023;1 826 656;0,018;
сентябрь 2023;1 834 644;0,017;
октябрь 2023;2 267 832;0,019;
ноябрь 2023;2 344 792;0,019;
декабрь 2023;2 189 645;0,018;
январь 2024;2 143 663;0,017;
февраль 2024;2 112 514;0,018;
март 2024;2 021 154;0,017;
апрель 2024;1 825 309;0,016;
май 2024;1 678 680;0,015;
июнь 2024;1 501 184;0,016;
июль 2024;1 593 747;0,017;
август 2024;1 586 893;0,016;
сентябрь 2024;1 560 200;0,015;
октябрь 2024;1 869 284;0,016;
ноябрь 2024;2 046 057;0,017;
декабрь 2024;2 056 540;0,017;
январь 2025;1 964 096;0,016;
февраль 2025;1 892 750;0,016;
март 2025;1 855 987;0,015;
апрель 2025;1 592 548;0,013;
май 2025;1 436 664;0,013;
июнь 2025;1 522 190;0,014;
