Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Соединения для плинтусов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;189;0,0000024;
февраль 2018;158;0,0000020;
март 2018;202;0,0000024;
апрель 2018;178;0,0000023;
май 2018;219;0,0000029;
июнь 2018;201;0,0000028;
июль 2018;201;0,0000028;
август 2018;204;0,0000028;
сентябрь 2018;241;0,0000030;
октябрь 2018;255;0,0000027;
ноябрь 2018;227;0,0000026;
декабрь 2018;226;0,0000026;
январь 2019;238;0,0000027;
февраль 2019;214;0,0000025;
март 2019;276;0,0000031;
апрель 2019;246;0,0000029;
май 2019;172;0,0000021;
июнь 2019;190;0,0000026;
июль 2019;247;0,0000033;
август 2019;239;0,0000032;
сентябрь 2019;215;0,0000027;
октябрь 2019;249;0,0000028;
ноябрь 2019;251;0,0000028;
декабрь 2019;295;0,0000031;
январь 2020;251;0,0000025;
февраль 2020;230;0,0000025;
март 2020;257;0,0000026;
апрель 2020;271;0,0000022;
май 2020;307;0,0000028;
июнь 2020;270;0,0000030;
июль 2020;396;0,0000047;
август 2020;354;0,0000042;
сентябрь 2020;301;0,0000031;
октябрь 2020;311;0,0000028;
ноябрь 2020;386;0,0000033;
декабрь 2020;316;0,0000028;
январь 2021;330;0,0000031;
февраль 2021;281;0,0000028;
март 2021;313;0,0000028;
апрель 2021;336;0,0000031;
май 2021;276;0,0000026;
июнь 2021;273;0,0000027;
июль 2021;352;0,0000036;
август 2021;382;0,0000038;
сентябрь 2021;333;0,0000031;
октябрь 2021;338;0,0000029;
ноябрь 2021;452;0,0000039;
декабрь 2021;441;0,0000037;
январь 2022;371;0,0000031;
февраль 2022;310;0,0000026;
март 2022;369;0,0000028;
апрель 2022;380;0,0000031;
май 2022;303;0,0000025;
июнь 2022;366;0,0000034;
июль 2022;415;0,0000039;
август 2022;410;0,0000038;
сентябрь 2022;327;0,0000027;
октябрь 2022;393;0,0000031;
ноябрь 2022;371;0,0000029;
декабрь 2022;425;0,0000033;
январь 2023;369;0,0000029;
февраль 2023;438;0,0000038;
март 2023;414;0,0000033;
апрель 2023;333;0,0000028;
май 2023;413;0,0000036;
июнь 2023;377;0,0000036;
июль 2023;490;0,0000048;
август 2023;428;0,0000042;
сентябрь 2023;398;0,0000037;
октябрь 2023;396;0,0000033;
ноябрь 2023;490;0,0000041;
декабрь 2023;478;0,0000040;
январь 2024;447;0,0000037;
февраль 2024;431;0,0000038;
март 2024;385;0,0000033;
апрель 2024;404;0,0000037;
май 2024;375;0,0000035;
июнь 2024;333;0,0000035;
июль 2024;396;0,0000042;
август 2024;424;0,0000045;
сентябрь 2024;376;0,0000037;
октябрь 2024;481;0,0000042;
ноябрь 2024;559;0,0000048;
декабрь 2024;513;0,0000042;
январь 2025;467;0,0000039;
февраль 2025;428;0,0000037;
март 2025;475;0,0000039;
апрель 2025;353;0,0000030;
май 2025;394;0,0000036;
июнь 2025;448;0,0000042;
