Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Потолочные розетки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 448;0,000044;
февраль 2018;3 776;0,000048;
март 2018;4 045;0,000048;
апрель 2018;3 573;0,000047;
май 2018;2 970;0,000039;
июнь 2018;3 186;0,000045;
июль 2018;3 091;0,000044;
август 2018;3 429;0,000048;
сентябрь 2018;3 398;0,000042;
октябрь 2018;4 125;0,000044;
ноябрь 2018;4 223;0,000049;
декабрь 2018;3 256;0,000038;
январь 2019;3 719;0,000042;
февраль 2019;3 802;0,000045;
март 2019;3 687;0,000041;
апрель 2019;3 426;0,000041;
май 2019;3 187;0,000040;
июнь 2019;2 841;0,000039;
июль 2019;3 177;0,000043;
август 2019;3 275;0,000045;
сентябрь 2019;3 324;0,000042;
октябрь 2019;3 554;0,000040;
ноябрь 2019;3 925;0,000044;
декабрь 2019;3 742;0,000040;
январь 2020;3 955;0,000040;
февраль 2020;3 685;0,000040;
март 2020;3 537;0,000035;
апрель 2020;3 390;0,000028;
май 2020;3 718;0,000034;
июнь 2020;3 679;0,000041;
июль 2020;3 649;0,000043;
август 2020;3 785;0,000045;
сентябрь 2020;3 484;0,000036;
октябрь 2020;4 262;0,000039;
ноябрь 2020;4 827;0,000042;
декабрь 2020;4 662;0,000042;
январь 2021;4 129;0,000039;
февраль 2021;4 390;0,000043;
март 2021;4 596;0,000042;
апрель 2021;4 355;0,000040;
май 2021;3 658;0,000035;
июнь 2021;3 746;0,000037;
июль 2021;3 971;0,000040;
август 2021;4 417;0,000044;
сентябрь 2021;4 670;0,000043;
октябрь 2021;4 769;0,000041;
ноябрь 2021;5 070;0,000043;
декабрь 2021;5 126;0,000043;
январь 2022;4 633;0,000038;
февраль 2022;4 527;0,000038;
март 2022;4 803;0,000037;
апрель 2022;4 483;0,000037;
май 2022;3 951;0,000033;
июнь 2022;3 932;0,000036;
июль 2022;3 973;0,000038;
август 2022;4 253;0,000039;
сентябрь 2022;3 624;0,000030;
октябрь 2022;4 029;0,000032;
ноябрь 2022;4 506;0,000035;
декабрь 2022;4 232;0,000033;
январь 2023;4 315;0,000035;
февраль 2023;4 067;0,000035;
март 2023;4 533;0,000036;
апрель 2023;3 543;0,000030;
май 2023;3 409;0,000030;
июнь 2023;3 310;0,000032;
июль 2023;3 625;0,000035;
август 2023;3 623;0,000036;
сентябрь 2023;3 504;0,000032;
октябрь 2023;4 230;0,000035;
ноябрь 2023;4 724;0,000040;
декабрь 2023;4 050;0,000033;
январь 2024;4 349;0,000036;
февраль 2024;4 316;0,000038;
март 2024;4 433;0,000038;
апрель 2024;3 925;0,000036;
май 2024;3 632;0,000034;
июнь 2024;3 419;0,000036;
июль 2024;3 414;0,000036;
август 2024;3 574;0,000038;
сентябрь 2024;3 469;0,000034;
октябрь 2024;4 128;0,000036;
ноябрь 2024;4 708;0,000040;
декабрь 2024;4 497;0,000037;
январь 2025;4 419;0,000037;
февраль 2025;4 649;0,000040;
март 2025;4 593;0,000038;
апрель 2025;4 211;0,000036;
май 2025;3 879;0,000036;
июнь 2025;4 031;0,000038;
