Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Панель стеновая ударопрочная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;22;0,00000028;
февраль 2018;23;0,00000029;
март 2018;20;0,00000023;
апрель 2018;26;0,00000034;
май 2018;37;0,00000049;
июнь 2018;17;0,00000024;
июль 2018;12;0,00000017;
август 2018;16;0,00000022;
сентябрь 2018;25;0,00000031;
октябрь 2018;61;0,00000066;
ноябрь 2018;28;0,00000032;
декабрь 2018;17;0,00000019;
январь 2019;16;0,00000018;
февраль 2019;17;0,00000020;
март 2019;33;0,00000037;
апрель 2019;31;0,00000037;
май 2019;19;0,00000024;
июнь 2019;33;0,00000045;
июль 2019;12;0,00000016;
август 2019;22;0,00000030;
сентябрь 2019;18;0,00000022;
октябрь 2019;34;0,00000038;
ноябрь 2019;30;0,00000033;
декабрь 2019;12;0,00000012;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;17;0,00000014;
май 2020;17;0,00000015;
июнь 2020;75;0,00000084;
июль 2020;25;0,00000029;
август 2020;22;0,00000026;
сентябрь 2020;23;0,00000024;
октябрь 2020;28;0,00000026;
ноябрь 2020;63;0,00000054;
декабрь 2020;29;0,00000026;
январь 2021;46;0,00000044;
февраль 2021;75;0,00000075;
март 2021;73;0,00000067;
апрель 2021;46;0,00000042;
май 2021;25;0,00000024;
июнь 2021;60;0,00000060;
июль 2021;65;0,00000067;
август 2021;25;0,00000024;
сентябрь 2021;32;0,00000029;
октябрь 2021;51;0,00000044;
ноябрь 2021;28;0,00000024;
декабрь 2021;33;0,00000027;
январь 2022;49;0,00000041;
февраль 2022;44;0,00000037;
март 2022;90;0,00000070;
апрель 2022;54;0,00000045;
май 2022;106;0,00000088;
июнь 2022;53;0,00000049;
июль 2022;28;0,00000026;
август 2022;80;0,00000074;
сентябрь 2022;103;0,00000088;
октябрь 2022;112;0,00000090;
ноябрь 2022;118;0,00000093;
декабрь 2022;97;0,00000077;
январь 2023;108;0,00000087;
февраль 2023;109;0,00000095;
март 2023;109;0,00000087;
апрель 2023;97;0,00000084;
май 2023;97;0,00000085;
июнь 2023;147;0,00000143;
июль 2023;179;0,00000177;
август 2023;165;0,00000164;
сентябрь 2023;137;0,00000127;
октябрь 2023;185;0,00000155;
ноябрь 2023;181;0,00000154;
декабрь 2023;151;0,00000126;
январь 2024;198;0,00000164;
февраль 2024;224;0,00000199;
март 2024;141;0,00000122;
апрель 2024;149;0,00000137;
май 2024;153;0,00000143;
июнь 2024;142;0,00000152;
июль 2024;84;0,00000090;
август 2024;120;0,00000128;
сентябрь 2024;123;0,00000123;
октябрь 2024;129;0,00000114;
ноябрь 2024;173;0,00000148;
декабрь 2024;127;0,00000105;
январь 2025;170;0,00000143;
февраль 2025;166;0,00000145;
март 2025;156;0,00000130;
апрель 2025;144;0,00000126;
май 2025;161;0,00000150;
июнь 2025;178;0,00000168;
