Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Эмали по ржавчине», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 416;0,000082;
февраль 2018;7 475;0,000096;
март 2018;9 861;0,000117;
апрель 2018;17 842;0,000235;
май 2018;24 166;0,000321;
июнь 2018;22 948;0,000330;
июль 2018;23 824;0,000340;
август 2018;22 145;0,000313;
сентябрь 2018;17 930;0,000226;
октябрь 2018;17 525;0,000190;
ноябрь 2018;11 340;0,000133;
декабрь 2018;7 886;0,000092;
январь 2019;6 705;0,000076;
февраль 2019;9 773;0,000116;
март 2019;13 813;0,000157;
апрель 2019;26 268;0,000317;
май 2019;25 256;0,000319;
июнь 2019;23 115;0,000318;
июль 2019;23 206;0,000315;
август 2019;21 791;0,000299;
сентябрь 2019;19 208;0,000244;
октябрь 2019;15 294;0,000172;
ноябрь 2019;11 912;0,000134;
декабрь 2019;9 501;0,000102;
январь 2020;10 493;0,000107;
февраль 2020;12 603;0,000137;
март 2020;19 577;0,000199;
апрель 2020;28 444;0,000238;
май 2020;36 112;0,000336;
июнь 2020;34 041;0,000381;
июль 2020;31 935;0,000379;
август 2020;28 979;0,000345;
сентябрь 2020;25 021;0,000263;
октябрь 2020;21 085;0,000195;
ноябрь 2020;15 208;0,000132;
декабрь 2020;11 287;0,000102;
январь 2021;9 253;0,000088;
февраль 2021;11 572;0,000115;
март 2021;19 445;0,000178;
апрель 2021;37 111;0,000344;
май 2021;38 996;0,000377;
июнь 2021;39 514;0,000398;
июль 2021;35 306;0,000363;
август 2021;38 233;0,000381;
сентябрь 2021;28 897;0,000269;
октябрь 2021;23 299;0,000204;
ноябрь 2021;18 349;0,000158;
декабрь 2021;13 101;0,000110;
январь 2022;12 195;0,000102;
февраль 2022;15 788;0,000133;
март 2022;29 345;0,000230;
апрель 2022;47 899;0,000400;
май 2022;59 254;0,000496;
июнь 2022;57 112;0,000532;
июль 2022;54 962;0,000527;
август 2022;53 288;0,000494;
сентябрь 2022;36 844;0,000315;
октябрь 2022;28 525;0,000230;
ноябрь 2022;22 206;0,000175;
декабрь 2022;15 214;0,000120;
январь 2023;14 865;0,000120;
февраль 2023;18 635;0,000163;
март 2023;32 457;0,000260;
апрель 2023;56 292;0,000487;
май 2023;57 960;0,000512;
июнь 2023;53 905;0,000525;
июль 2023;50 481;0,000500;
август 2023;47 236;0,000470;
сентябрь 2023;42 361;0,000393;
октябрь 2023;31 342;0,000262;
ноябрь 2023;23 390;0,000199;
декабрь 2023;15 287;0,000128;
январь 2024;14 848;0,000123;
февраль 2024;21 325;0,000189;
март 2024;32 556;0,000282;
апрель 2024;62 171;0,000573;
май 2024;58 364;0,000547;
июнь 2024;50 470;0,000540;
июль 2024;51 839;0,000556;
август 2024;47 107;0,000503;
сентябрь 2024;43 103;0,000433;
октябрь 2024;33 686;0,000300;
ноябрь 2024;23 867;0,000205;
декабрь 2024;19 628;0,000163;
январь 2025;18 608;0,000156;
февраль 2025;25 042;0,000219;
март 2025;38 373;0,000320;
апрель 2025;57 196;0,000501;
май 2025;54 205;0,000507;
июнь 2025;57 303;0,000542;
