Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Эмали для радиаторов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 614;0,000020;
февраль 2018;2 151;0,000027;
март 2018;2 218;0,000026;
апрель 2018;2 136;0,000028;
май 2018;2 159;0,000028;
июнь 2018;2 901;0,000041;
июль 2018;3 660;0,000052;
август 2018;4 156;0,000058;
сентябрь 2018;4 145;0,000052;
октябрь 2018;4 199;0,000045;
ноябрь 2018;2 440;0,000028;
декабрь 2018;2 133;0,000024;
январь 2019;2 160;0,000024;
февраль 2019;2 455;0,000029;
март 2019;2 513;0,000028;
апрель 2019;2 879;0,000034;
май 2019;3 123;0,000039;
июнь 2019;3 473;0,000047;
июль 2019;4 455;0,000060;
август 2019;5 078;0,000069;
сентябрь 2019;4 439;0,000056;
октябрь 2019;3 356;0,000037;
ноябрь 2019;3 211;0,000036;
декабрь 2019;3 149;0,000033;
январь 2020;3 122;0,000032;
февраль 2020;2 965;0,000032;
март 2020;3 119;0,000031;
апрель 2020;3 903;0,000032;
май 2020;4 256;0,000039;
июнь 2020;4 895;0,000054;
июль 2020;5 547;0,000065;
август 2020;5 394;0,000064;
сентябрь 2020;5 617;0,000059;
октябрь 2020;4 546;0,000042;
ноябрь 2020;4 285;0,000037;
декабрь 2020;3 627;0,000032;
январь 2021;2 938;0,000028;
февраль 2021;3 032;0,000030;
март 2021;3 986;0,000036;
апрель 2021;4 534;0,000042;
май 2021;4 995;0,000048;
июнь 2021;5 435;0,000054;
июль 2021;6 225;0,000064;
август 2021;7 901;0,000078;
сентябрь 2021;7 631;0,000071;
октябрь 2021;5 135;0,000045;
ноябрь 2021;4 967;0,000042;
декабрь 2021;4 664;0,000039;
январь 2022;4 166;0,000034;
февраль 2022;4 135;0,000035;
март 2022;5 452;0,000042;
апрель 2022;5 939;0,000049;
май 2022;6 477;0,000054;
июнь 2022;7 450;0,000069;
июль 2022;8 322;0,000079;
август 2022;8 805;0,000081;
сентябрь 2022;7 683;0,000065;
октябрь 2022;5 631;0,000045;
ноябрь 2022;5 701;0,000045;
декабрь 2022;4 506;0,000035;
январь 2023;4 219;0,000034;
февраль 2023;4 386;0,000038;
март 2023;4 923;0,000039;
апрель 2023;5 237;0,000045;
май 2023;5 959;0,000052;
июнь 2023;6 723;0,000065;
июль 2023;8 282;0,000082;
август 2023;7 938;0,000079;
сентябрь 2023;7 591;0,000070;
октябрь 2023;7 276;0,000060;
ноябрь 2023;5 478;0,000046;
декабрь 2023;4 875;0,000040;
январь 2024;4 272;0,000035;
февраль 2024;4 586;0,000040;
март 2024;4 900;0,000042;
апрель 2024;5 188;0,000047;
май 2024;5 321;0,000049;
июнь 2024;5 854;0,000062;
июль 2024;6 962;0,000074;
август 2024;7 442;0,000079;
сентябрь 2024;6 686;0,000067;
октябрь 2024;5 785;0,000051;
ноябрь 2024;4 550;0,000039;
декабрь 2024;4 163;0,000034;
январь 2025;3 857;0,000032;
февраль 2025;4 300;0,000037;
март 2025;4 394;0,000036;
апрель 2025;4 571;0,000040;
май 2025;4 505;0,000042;
июнь 2025;5 769;0,000054;
