Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Жидкие гвозди», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;36 050;0,00046;
февраль 2018;35 335;0,00045;
март 2018;40 114;0,00047;
апрель 2018;35 006;0,00046;
май 2018;35 373;0,00047;
июнь 2018;37 286;0,00053;
июль 2018;42 859;0,00061;
август 2018;45 521;0,00064;
сентябрь 2018;42 806;0,00054;
октябрь 2018;48 722;0,00052;
ноябрь 2018;48 598;0,00057;
декабрь 2018;46 142;0,00053;
январь 2019;42 380;0,00048;
февраль 2019;42 636;0,00050;
март 2019;45 740;0,00052;
апрель 2019;44 082;0,00053;
май 2019;42 828;0,00054;
июнь 2019;42 515;0,00058;
июль 2019;50 846;0,00069;
август 2019;51 413;0,00070;
сентябрь 2019;46 821;0,00059;
октябрь 2019;53 204;0,00060;
ноябрь 2019;51 809;0,00058;
декабрь 2019;53 185;0,00057;
январь 2020;49 282;0,00050;
февраль 2020;48 634;0,00052;
март 2020;48 237;0,00049;
апрель 2020;50 186;0,00042;
май 2020;55 831;0,00052;
июнь 2020;57 974;0,00065;
июль 2020;62 534;0,00074;
август 2020;65 031;0,00077;
сентябрь 2020;58 380;0,00061;
октябрь 2020;67 913;0,00063;
ноябрь 2020;72 716;0,00063;
декабрь 2020;66 998;0,00060;
январь 2021;56 248;0,00053;
февраль 2021;52 794;0,00052;
март 2021;57 886;0,00053;
апрель 2021;60 069;0,00055;
май 2021;56 059;0,00054;
июнь 2021;58 315;0,00058;
июль 2021;63 666;0,00065;
август 2021;70 819;0,00070;
сентябрь 2021;67 482;0,00062;
октябрь 2021;67 515;0,00059;
ноябрь 2021;71 247;0,00061;
декабрь 2021;70 886;0,00059;
январь 2022;64 504;0,00054;
февраль 2022;59 072;0,00050;
март 2022;68 421;0,00053;
апрель 2022;73 444;0,00061;
май 2022;72 906;0,00061;
июнь 2022;71 987;0,00067;
июль 2022;77 495;0,00074;
август 2022;79 041;0,00073;
сентябрь 2022;68 644;0,00058;
октябрь 2022;73 434;0,00059;
ноябрь 2022;77 619;0,00061;
декабрь 2022;73 575;0,00058;
январь 2023;64 489;0,00052;
февраль 2023;64 885;0,00056;
март 2023;72 946;0,00058;
апрель 2023;69 113;0,00059;
май 2023;69 900;0,00061;
июнь 2023;73 396;0,00071;
июль 2023;81 021;0,00080;
август 2023;82 313;0,00081;
сентябрь 2023;77 424;0,00071;
октябрь 2023;93 032;0,00077;
ноябрь 2023;90 260;0,00076;
декабрь 2023;80 478;0,00067;
январь 2024;71 817;0,00059;
февраль 2024;72 294;0,00064;
март 2024;73 858;0,00064;
апрель 2024;73 551;0,00067;
май 2024;72 507;0,00068;
июнь 2024;67 959;0,00072;
июль 2024;75 754;0,00081;
август 2024;79 499;0,00085;
сентябрь 2024;74 491;0,00074;
октябрь 2024;81 947;0,00073;
ноябрь 2024;86 672;0,00074;
декабрь 2024;84 921;0,00070;
январь 2025;76 848;0,00064;
февраль 2025;75 615;0,00066;
март 2025;77 267;0,00064;
апрель 2025;72 555;0,00063;
май 2025;72 655;0,00068;
июнь 2025;80 876;0,00076;
