Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Канализационные установки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;231;0,000109;
август 2023;223;0,000104;
сентябрь 2023;241;0,000100;
октябрь 2023;217;0,000081;
ноябрь 2023;177;0,000067;
декабрь 2023;205;0,000076;
январь 2024;165;0,000063;
февраль 2024;164;0,000066;
март 2024;212;0,000083;
апрель 2024;212;0,000089;
май 2024;227;0,000096;
июнь 2024;223;0,000114;
июль 2024;253;0,000129;
август 2024;193;0,000098;
сентябрь 2024;238;0,000110;
октябрь 2024;233;0,000093;
ноябрь 2024;306;0,000118;
декабрь 2024;218;0,000081;
январь 2025;267;0,000099;
февраль 2025;198;0,000076;
март 2025;208;0,000077;
апрель 2025;262;0,000101;
май 2025;215;0,000090;
июнь 2025;288;0,000123;
