Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пазогребневые плиты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;378;0,000179;
август 2023;405;0,000190;
сентябрь 2023;362;0,000151;
октябрь 2023;415;0,000155;
ноябрь 2023;431;0,000163;
декабрь 2023;246;0,000091;
январь 2024;329;0,000125;
февраль 2024;331;0,000135;
март 2024;385;0,000150;
апрель 2024;340;0,000143;
май 2024;359;0,000153;
июнь 2024;274;0,000140;
июль 2024;345;0,000176;
август 2024;375;0,000191;
сентябрь 2024;320;0,000148;
октябрь 2024;446;0,000179;
ноябрь 2024;461;0,000178;
декабрь 2024;319;0,000119;
январь 2025;374;0,000138;
февраль 2025;405;0,000156;
март 2025;442;0,000164;
апрель 2025;426;0,000164;
май 2025;339;0,000142;
июнь 2025;405;0,000173;
