Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штукатурка», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;31 957;0,0151;
август 2023;31 060;0,0146;
сентябрь 2023;28 834;0,0120;
октябрь 2023;28 490;0,0106;
ноябрь 2023;26 461;0,0100;
декабрь 2023;21 156;0,0078;
январь 2024;21 834;0,0083;
февраль 2024;21 898;0,0089;
март 2024;26 294;0,0103;
апрель 2024;27 160;0,0114;
май 2024;30 229;0,0129;
июнь 2024;26 484;0,0135;
июль 2024;29 958;0,0153;
август 2024;29 116;0,0148;
сентябрь 2024;27 059;0,0125;
октябрь 2024;27 709;0,0111;
ноябрь 2024;26 334;0,0102;
декабрь 2024;23 905;0,0089;
январь 2025;26 512;0,0098;
февраль 2025;26 628;0,0102;
март 2025;29 061;0,0108;
апрель 2025;30 254;0,0116;
май 2025;30 105;0,0126;
июнь 2025;30 451;0,0130;
