Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Рулонный материал», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;404;0,00019;
август 2023;475;0,00022;
сентябрь 2023;467;0,00019;
октябрь 2023;408;0,00015;
ноябрь 2023;486;0,00018;
декабрь 2023;336;0,00012;
январь 2024;342;0,00013;
февраль 2024;333;0,00013;
март 2024;482;0,00018;
апрель 2024;607;0,00025;
май 2024;526;0,00022;
июнь 2024;520;0,00026;
июль 2024;407;0,00020;
август 2024;450;0,00022;
сентябрь 2024;510;0,00023;
октябрь 2024;475;0,00019;
ноябрь 2024;536;0,00020;
декабрь 2024;518;0,00019;
январь 2025;470;0,00017;
февраль 2025;586;0,00022;
март 2025;654;0,00024;
апрель 2025;558;0,00021;
май 2025;710;0,00029;
июнь 2025;744;0,00031;
