Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мебельные щиты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 363;0,00064;
август 2023;1 337;0,00062;
сентябрь 2023;1 289;0,00053;
октябрь 2023;1 403;0,00052;
ноябрь 2023;1 570;0,00059;
декабрь 2023;1 325;0,00049;
январь 2024;1 486;0,00056;
февраль 2024;1 487;0,00060;
март 2024;1 447;0,00056;
апрель 2024;1 071;0,00045;
май 2024;1 101;0,00047;
июнь 2024;907;0,00046;
июль 2024;1 133;0,00058;
август 2024;1 133;0,00057;
сентябрь 2024;1 139;0,00052;
октябрь 2024;1 227;0,00049;
ноябрь 2024;1 563;0,00060;
декабрь 2024;1 290;0,00048;
январь 2025;1 580;0,00058;
февраль 2025;1 637;0,00063;
март 2025;1 386;0,00051;
апрель 2025;1 070;0,00041;
май 2025;1 182;0,00049;
июнь 2025;1 440;0,00061;
