Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кладочные смеси», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;476;0,000225;
август 2023;341;0,000160;
сентябрь 2023;290;0,000121;
октябрь 2023;297;0,000111;
ноябрь 2023;279;0,000106;
декабрь 2023;226;0,000084;
январь 2024;225;0,000086;
февраль 2024;197;0,000080;
март 2024;284;0,000111;
апрель 2024;339;0,000142;
май 2024;505;0,000215;
июнь 2024;352;0,000180;
июль 2024;408;0,000209;
август 2024;472;0,000241;
сентябрь 2024;404;0,000187;
октябрь 2024;378;0,000152;
ноябрь 2024;287;0,000111;
декабрь 2024;230;0,000085;
январь 2025;276;0,000102;
февраль 2025;408;0,000157;
март 2025;469;0,000174;
апрель 2025;380;0,000146;
май 2025;465;0,000194;
июнь 2025;477;0,000204;
