Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Чердачные лестницы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 030;0,00048;
август 2023;988;0,00046;
сентябрь 2023;992;0,00041;
октябрь 2023;1 409;0,00052;
ноябрь 2023;1 248;0,00047;
декабрь 2023;657;0,00024;
январь 2024;718;0,00027;
февраль 2024;827;0,00033;
март 2024;713;0,00027;
апрель 2024;760;0,00031;
май 2024;714;0,00030;
июнь 2024;632;0,00032;
июль 2024;798;0,00040;
август 2024;976;0,00049;
сентябрь 2024;990;0,00045;
октябрь 2024;1 287;0,00051;
ноябрь 2024;995;0,00038;
декабрь 2024;942;0,00035;
январь 2025;915;0,00033;
февраль 2025;712;0,00027;
март 2025;889;0,00033;
апрель 2025;675;0,00026;
май 2025;753;0,00031;
июнь 2025;835;0,00035;
