Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бруски», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;8 503;0,0040;
август 2023;8 332;0,0039;
сентябрь 2023;11 924;0,0049;
октябрь 2023;22 897;0,0085;
ноябрь 2023;21 335;0,0081;
декабрь 2023;19 399;0,0072;
январь 2024;12 200;0,0046;
февраль 2024;11 987;0,0048;
март 2024;16 121;0,0063;
апрель 2024;15 061;0,0063;
май 2024;12 362;0,0052;
июнь 2024;7 592;0,0038;
июль 2024;6 524;0,0033;
август 2024;6 313;0,0032;
сентябрь 2024;8 667;0,0040;
октябрь 2024;17 247;0,0069;
ноябрь 2024;19 251;0,0074;
декабрь 2024;18 833;0,0070;
январь 2025;11 306;0,0041;
февраль 2025;10 827;0,0041;
март 2025;14 523;0,0054;
апрель 2025;15 084;0,0058;
май 2025;11 801;0,0049;
июнь 2025;7 945;0,0034;
