Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Доска террасная», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;6 200;0,00293;
август 2023;5 332;0,00250;
сентябрь 2023;4 147;0,00173;
октябрь 2023;3 428;0,00128;
ноябрь 2023;2 201;0,00083;
декабрь 2023;1 118;0,00041;
январь 2024;1 407;0,00053;
февраль 2024;2 161;0,00088;
март 2024;3 526;0,00138;
апрель 2024;6 337;0,00266;
май 2024;6 990;0,00298;
июнь 2024;7 280;0,00372;
июль 2024;6 864;0,00351;
август 2024;5 301;0,00270;
сентябрь 2024;4 473;0,00207;
октябрь 2024;3 485;0,00140;
ноябрь 2024;2 445;0,00094;
декабрь 2024;1 787;0,00066;
январь 2025;1 964;0,00072;
февраль 2025;2 423;0,00093;
март 2025;3 875;0,00144;
апрель 2025;6 656;0,00257;
май 2025;7 437;0,00311;
июнь 2025;8 272;0,00354;
