Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сетки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;69 650;0,033;
август 2023;58 764;0,027;
сентябрь 2023;54 682;0,022;
октябрь 2023;62 174;0,023;
ноябрь 2023;50 319;0,019;
декабрь 2023;43 662;0,016;
январь 2024;46 362;0,017;
февраль 2024;48 239;0,019;
март 2024;60 498;0,023;
апрель 2024;88 371;0,037;
май 2024;82 039;0,035;
июнь 2024;125 190;0,064;
июль 2024;106 563;0,054;
август 2024;53 390;0,027;
сентябрь 2024;55 965;0,025;
октябрь 2024;57 532;0,023;
ноябрь 2024;51 759;0,020;
декабрь 2024;48 725;0,018;
январь 2025;50 977;0,018;
февраль 2025;56 073;0,021;
март 2025;70 802;0,026;
апрель 2025;100 237;0,038;
май 2025;90 405;0,037;
июнь 2025;87 817;0,037;
