Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ленты клейкие», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 452;0,00068;
август 2023;1 800;0,00084;
сентябрь 2023;2 186;0,00091;
октябрь 2023;2 389;0,00089;
ноябрь 2023;1 419;0,00053;
декабрь 2023;1 478;0,00055;
январь 2024;1 299;0,00049;
февраль 2024;1 469;0,00059;
март 2024;1 547;0,00060;
апрель 2024;1 550;0,00065;
май 2024;1 407;0,00060;
июнь 2024;1 367;0,00070;
июль 2024;1 555;0,00079;
август 2024;1 443;0,00073;
сентябрь 2024;1 435;0,00066;
октябрь 2024;1 563;0,00062;
ноябрь 2024;1 494;0,00057;
декабрь 2024;1 370;0,00051;
январь 2025;1 456;0,00054;
февраль 2025;1 625;0,00062;
март 2025;1 691;0,00063;
апрель 2025;1 773;0,00068;
май 2025;1 356;0,00056;
июнь 2025;1 514;0,00064;
