Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные емкости», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;84;0,000039;
август 2023;43;0,000020;
сентябрь 2023;63;0,000026;
октябрь 2023;78;0,000029;
ноябрь 2023;49;0,000018;
декабрь 2023;46;0,000017;
январь 2024;39;0,000014;
февраль 2024;64;0,000026;
март 2024;72;0,000028;
апрель 2024;75;0,000031;
май 2024;111;0,000047;
июнь 2024;115;0,000058;
июль 2024;91;0,000046;
август 2024;55;0,000028;
сентябрь 2024;58;0,000026;
октябрь 2024;77;0,000031;
ноябрь 2024;69;0,000026;
декабрь 2024;64;0,000023;
январь 2025;70;0,000025;
февраль 2025;90;0,000034;
март 2025;124;0,000046;
апрель 2025;92;0,000035;
май 2025;150;0,000062;
июнь 2025;91;0,000039;
