Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для ПВХ панелей», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2;0,00000094;
август 2023;3;0,00000141;
сентябрь 2023;2;0,00000083;
октябрь 2023;1;0,00000037;
ноябрь 2023;7;0,00000266;
декабрь 2023;5;0,00000186;
январь 2024;4;0,00000152;
февраль 2024;2;0,00000081;
март 2024;1;0,00000039;
апрель 2024;1;0,00000042;
май 2024;8;0,00000341;
июнь 2024;0;0;
июль 2024;5;0,00000256;
август 2024;4;0,00000204;
сентябрь 2024;0;0;
октябрь 2024;1;0,00000040;
ноябрь 2024;3;0,00000116;
декабрь 2024;5;0,00000186;
январь 2025;5;0,00000185;
февраль 2025;5;0,00000193;
март 2025;6;0,00000223;
апрель 2025;2;0,00000077;
май 2025;5;0,00000209;
июнь 2025;3;0,00000128;
