Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Панели перфорированные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;267;0,000126;
август 2023;212;0,000099;
сентябрь 2023;212;0,000088;
октябрь 2023;285;0,000106;
ноябрь 2023;313;0,000119;
декабрь 2023;245;0,000091;
январь 2024;271;0,000103;
февраль 2024;219;0,000089;
март 2024;283;0,000110;
апрель 2024;297;0,000125;
май 2024;335;0,000143;
июнь 2024;210;0,000107;
июль 2024;280;0,000143;
август 2024;343;0,000175;
сентябрь 2024;223;0,000103;
октябрь 2024;297;0,000119;
ноябрь 2024;254;0,000098;
декабрь 2024;223;0,000083;
январь 2025;350;0,000129;
февраль 2025;336;0,000129;
март 2025;380;0,000141;
апрель 2025;252;0,000097;
май 2025;295;0,000123;
июнь 2025;219;0,000093;
