Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гипс, алебастр», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;12 226;0,0057;
август 2023;11 364;0,0053;
сентябрь 2023;11 419;0,0047;
октябрь 2023;13 136;0,0049;
ноябрь 2023;13 012;0,0049;
декабрь 2023;13 255;0,0049;
январь 2024;12 975;0,0049;
февраль 2024;13 100;0,0053;
март 2024;13 587;0,0053;
апрель 2024;12 928;0,0054;
май 2024;11 585;0,0049;
июнь 2024;9 698;0,0049;
июль 2024;9 989;0,0051;
август 2024;9 416;0,0048;
сентябрь 2024;9 846;0,0045;
октябрь 2024;11 467;0,0046;
ноябрь 2024;12 593;0,0048;
декабрь 2024;13 807;0,0051;
январь 2025;14 171;0,0052;
февраль 2025;14 064;0,0054;
март 2025;12 995;0,0048;
апрель 2025;12 781;0,0049;
май 2025;10 974;0,0045;
июнь 2025;11 394;0,0048;
