Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Водосток металлический», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;216;0,000102;
август 2023;216;0,000101;
сентябрь 2023;259;0,000108;
октябрь 2023;219;0,000081;
ноябрь 2023;152;0,000057;
декабрь 2023;40;0,000014;
январь 2024;37;0,000014;
февраль 2024;42;0,000017;
март 2024;113;0,000044;
апрель 2024;160;0,000067;
май 2024;213;0,000090;
июнь 2024;183;0,000093;
июль 2024;256;0,000131;
август 2024;300;0,000153;
сентябрь 2024;240;0,000111;
октябрь 2024;188;0,000075;
ноябрь 2024;122;0,000047;
декабрь 2024;55;0,000020;
январь 2025;60;0,000022;
февраль 2025;52;0,000020;
март 2025;124;0,000046;
апрель 2025;179;0,000069;
май 2025;263;0,000110;
июнь 2025;296;0,000126;
