Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тепловентиляторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;765;0,00036;
август 2023;1 606;0,00075;
сентябрь 2023;2 566;0,00107;
октябрь 2023;3 905;0,00145;
ноябрь 2023;3 127;0,00118;
декабрь 2023;4 922;0,00183;
январь 2024;2 943;0,00112;
февраль 2024;1 678;0,00068;
март 2024;1 158;0,00045;
апрель 2024;1 043;0,00043;
май 2024;4 721;0,00201;
июнь 2024;1 048;0,00053;
июль 2024;1 095;0,00056;
август 2024;1 408;0,00071;
сентябрь 2024;2 596;0,00120;
октябрь 2024;3 910;0,00157;
ноябрь 2024;3 865;0,00149;
декабрь 2024;3 108;0,00115;
январь 2025;2 162;0,00080;
февраль 2025;1 784;0,00068;
март 2025;1 389;0,00051;
апрель 2025;1 254;0,00048;
май 2025;1 556;0,00065;
июнь 2025;817;0,00035;
