Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Инфракрасные обогреватели», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;692;0,00032;
август 2023;1 344;0,00063;
сентябрь 2023;2 016;0,00084;
октябрь 2023;3 133;0,00117;
ноябрь 2023;2 781;0,00105;
декабрь 2023;3 728;0,00139;
январь 2024;2 232;0,00085;
февраль 2024;1 412;0,00057;
март 2024;1 130;0,00044;
апрель 2024;816;0,00034;
май 2024;2 310;0,00098;
июнь 2024;459;0,00023;
июль 2024;438;0,00022;
август 2024;1 120;0,00057;
сентябрь 2024;1 707;0,00079;
октябрь 2024;2 755;0,00110;
ноябрь 2024;2 684;0,00104;
декабрь 2024;2 117;0,00079;
январь 2025;1 468;0,00054;
февраль 2025;1 215;0,00046;
март 2025;1 034;0,00038;
апрель 2025;1 120;0,00043;
май 2025;969;0,00040;
июнь 2025;666;0,00028;
