Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Печи отопительные, камины», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;263;0,00012;
август 2023;446;0,00020;
сентябрь 2023;501;0,00020;
октябрь 2023;677;0,00025;
ноябрь 2023;611;0,00023;
декабрь 2023;544;0,00020;
январь 2024;589;0,00022;
февраль 2024;429;0,00017;
март 2024;353;0,00013;
апрель 2024;271;0,00011;
май 2024;388;0,00016;
июнь 2024;232;0,00011;
июль 2024;213;0,00010;
август 2024;402;0,00020;
сентябрь 2024;392;0,00018;
октябрь 2024;581;0,00023;
ноябрь 2024;638;0,00024;
декабрь 2024;590;0,00022;
январь 2025;436;0,00016;
февраль 2025;397;0,00015;
март 2025;391;0,00014;
апрель 2025;290;0,00011;
май 2025;333;0,00013;
июнь 2025;282;0,00012;
